,follower
2021-03-08,5657
2021-03-09,5808
2021-03-10,6056
2021-03-11,6314
2021-03-12,6819
2021-03-13,10414
2021-03-14,12464
2021-03-15,12752
2021-03-16,13136
2021-03-17,13557
2021-03-18,13968
2021-03-19,14282
2021-03-20,14661
2021-03-21,14947
2021-03-22,15110
2021-03-23,15408
2021-03-24,15617
2021-03-25,15817
2021-03-26,16034
2021-03-27,16530
2021-03-28,16877
2021-03-29,17044
2021-03-30,17159
2021-03-31,17366
2021-04-01,17536
2021-04-02,17816
2021-04-03,18254
2021-04-04,18925
2021-04-05,19271
2021-04-06,19423
2021-04-07,19549
2021-04-08,19723
2021-04-09,19923
2021-04-10,20228
2021-04-11,20384
2021-04-12,20470
2021-04-13,20659
2021-04-14,21035
2021-04-15,21824
2021-04-16,23113
2021-04-17,24687
2021-04-18,25462
2021-04-19,25697
2021-04-20,26007
2021-04-21,26182
2021-04-22,26383
2021-04-23,26814
2021-04-24,27285
2021-04-25,27533
2021-04-26,27715
2021-04-27,27874
2021-04-28,28057
2021-04-29,29310
2021-04-30,29650
2021-05-01,30641
2021-05-02,31350
2021-05-03,31769
2021-05-04,32229
2021-05-05,32505
2021-05-06,32746
2021-05-07,33029
2021-05-08,33333
2021-05-09,33664
2021-05-10,33802
2021-05-11,33870
2021-05-12,33938
2021-05-13,34010
2021-05-14,34239
2021-05-15,34488
2021-05-16,34792
2021-05-17,34866
2021-05-18,34938
2021-05-19,35046
2021-05-20,35707
2021-05-21,36031
2021-05-22,36258
2021-05-23,36412
2021-05-24,36448
2021-05-25,36558
2021-05-26,36633
2021-05-27,36706
2021-05-28,36814
2021-05-29,36926
2021-05-30,37257
2021-05-31,37486
2021-06-01,37596
2021-06-02,37633
2021-06-03,37708
2021-06-04,37862
2021-06-05,38515
2021-06-06,38938
2021-06-07,39161
2021-06-08,39352
2021-06-09,39584
2021-06-10,39809
2021-06-11,40073
2021-06-12,40338
2021-06-13,40732
2021-06-14,40930
2021-06-15,41002
2021-06-16,41111
2021-06-17,41183
2021-06-18,41219
2021-06-19,41291
2021-06-20,41517
2021-06-21,41664
2021-06-22,41849
2021-06-23,42158
2021-06-24,42467
2021-06-25,42731
2021-06-26,42959
2021-06-27,44357
2021-06-28,48659
2021-06-29,51884
2021-06-30,53602
2021-07-01,54690
2021-07-02,55834
2021-07-03,57019
2021-07-04,57912
2021-07-05,58585
2021-07-06,59224
2021-07-07,59983
2021-07-08,60713
2021-07-09,61387
2021-07-10,62003
2021-07-11,62578
2021-07-12,63239
2021-07-13,63949
2021-07-14,65340
2021-07-15,66410
2021-07-16,67484
2021-07-17,69260
2021-07-18,70607
2021-07-19,71556
2021-07-20,72353
2021-07-21,72953
2021-07-22,73505
2021-07-23,74043
2021-07-24,74524
2021-07-25,75259
2021-07-26,75861
2021-07-27,76380
2021-07-28,76829
2021-07-29,77284
2021-07-30,77930
2021-07-31,78469
2021-08-01,78940
2021-08-02,79452
2021-08-03,79867
2021-08-04,80260
2021-08-05,80614
2021-08-06,81006
2021-08-07,81444
2021-08-08,81900
2021-08-09,82320
2021-08-10,82683
2021-08-11,82992
2021-08-12,83318
2021-08-13,83597
2021-08-14,83837
2021-08-15,84073
2021-08-16,84310
2021-08-17,84561
2021-08-18,84928
2021-08-19,85208
2021-08-20,85468
2021-08-21,85814
2021-08-22,86143
2021-08-23,86371
2021-08-24,86557
2021-08-25,86707
2021-08-26,86903
2021-08-27,87096
2021-08-28,87244
2021-08-29,87503
2021-08-30,87714
2021-08-31,88034
2021-09-01,88109
2021-09-02,88145
2021-09-03,88257
2021-09-04,88412
2021-09-05,88527
2021-09-06,88604
2021-09-07,88678
2021-09-08,88752
2021-09-09,88825
2021-09-10,88938
2021-09-11,89048
2021-09-12,89126
2021-09-13,89199
2021-09-14,89273
2021-09-15,89346
2021-09-16,89418
2021-09-17,89491
2021-09-18,89571
2021-09-19,89679
2021-09-20,89832
2021-09-21,89904
2021-09-22,89978
2021-09-23,90050
2021-09-24,90089
2021-09-25,90203
2021-09-26,90239
2021-09-28,90267
2021-09-29,90475
2021-09-30,90647
2021-10-01,90724
2021-10-02,90762
2021-10-03,90837
2021-10-04,90912
2021-10-05,90948
2021-10-06,91062
2021-10-07,91099
2021-10-08,91136
2021-10-09,91172
2021-10-10,91244
2021-10-12,91299
2021-10-13,91338
2021-10-15,91408
2021-10-16,91447
2021-10-17,91484
2021-10-18,91517
2021-10-20,91553
2021-10-21,91585
2021-10-22,91631
2021-10-23,91705
2021-10-24,91827
2021-10-25,91942
2021-10-26,92017
2021-10-27,92094
2021-10-28,92205
2021-10-29,92242
2021-11-02,92614
2021-11-03,92678
2021-11-04,92715
2021-11-05,92826
2021-11-06,92907
2021-11-07,92979
2021-11-08,93016
2021-11-09,93053
2021-11-10,93127
2021-11-11,93199
2021-11-12,93235
2021-11-13,93308
2021-11-14,93348
2021-11-15,93384
2021-11-16,93458
2021-11-18,93489
2021-11-19,93567
2021-11-20,93643
2021-11-22,93636
2021-12-05,94439
2021-12-07,94475
2021-12-08,94504
2021-12-09,94531
2021-12-10,94568
2021-12-11,94685
2021-12-12,95107
2021-12-13,95359
2021-12-14,95517
2021-12-15,95795
2021-12-16,96027
2021-12-17,96335
2021-12-18,97113
2021-12-19,97788
2021-12-20,97824
2021-12-21,97896
2021-12-22,98004
2021-12-23,98078
2021-12-24,99753
2021-12-25,99753
2021-12-26,99862
2021-12-27,100014
2021-12-28,100205
2021-12-29,100314
2021-12-30,100353
2021-12-31,100469
2022-01-01,100582
2022-01-02,100699
2022-01-03,100821
2022-01-04,100862
2022-01-05,100904
2022-01-06,100932
2022-01-07,100938
2022-01-08,101091
2022-01-09,101207
2022-01-10,101243
2022-01-11,101267
2022-01-12,101493
2022-01-13,101587
2022-01-14,101625
2022-01-15,101716
2022-01-16,101789
2022-01-17,101829
2022-01-18,101865
2022-01-19,101901
2022-01-20,101982
2022-01-21,102022
2022-01-22,102058
2022-01-23,102099
2022-01-24,102175
2022-01-25,102211
2022-01-26,102284
2022-01-28,102357
2022-01-29,102354
2022-01-31,102390
2022-02-01,102445
2022-02-04,102488
2022-02-05,102583
2022-02-07,102572
2022-02-08,102595
2022-02-09,102624
2022-02-10,102665
2022-02-11,102690
2022-02-12,102765
2022-02-13,102843
2022-02-14,102952
2022-02-15,102988
2022-02-16,103024
2022-02-17,103096
2022-02-18,103132
2022-02-19,103191
2022-02-20,103300
2022-02-21,103482
2022-02-22,103592
2022-02-23,103667
2022-02-24,103742
2022-02-25,103778
2022-02-26,103851
2022-02-27,103923
2022-02-28,103995
2022-03-01,104067
2022-03-02,104103
2022-03-03,104178
2022-03-04,104235
2022-03-05,104272
2022-03-06,104308
2022-03-07,104310
2022-03-08,104346
2022-03-09,104382
2022-03-10,104419
2022-03-11,104492
2022-03-12,104601
2022-03-13,104710
2022-03-14,104746
2022-03-15,104819
2022-03-16,104891
2022-03-17,104927
2022-03-18,105000
2022-03-19,109282
2022-03-20,109315
2022-03-21,109278
2022-03-23,109308
2022-03-24,109308
2022-03-25,109290
2022-03-27,109297
2022-03-28,109307
2022-03-29,109336
2022-03-30,109390
2022-03-31,109425
2022-04-01,109417
2022-04-03,109416
2022-04-04,109449
2022-04-05,109478
2022-04-07,109481
2022-04-08,109511
2022-04-09,109525
2022-04-10,111435
2022-04-11,111358
2022-04-13,111388
2022-04-15,111538
2022-04-16,111528
2022-04-17,111588
2022-04-18,111550
2022-04-19,111557
2022-04-21,111521
2022-04-22,111530
2022-04-23,111557
2022-04-25,111543
2022-04-26,111569
2022-04-27,111569
2022-04-28,111606
2022-04-30,111635
2022-05-01,111725
2022-05-02,111754
2022-05-04,111819
2022-05-05,111833
2022-05-07,111850
2022-05-08,111869
2022-05-09,111859
2022-05-10,111895
2022-05-11,111918
2022-05-12,111911
2022-05-13,111951
2022-05-14,112000
2022-05-16,112023
2022-05-17,112027
2022-05-18,112064
2022-05-20,112050
2022-05-21,112058
2022-05-22,112130
2022-05-24,112150
2022-05-26,112152
2022-05-27,112171
2022-05-28,112208
2022-05-30,112283
2022-06-01,112280
2022-06-02,112295
2022-06-03,112318
2022-06-05,112345
2022-06-06,112351
2022-06-07,112365
2022-06-09,112438
2022-06-11,112420
2022-06-12,112429
2022-06-13,112412
2022-06-15,112459
2022-06-17,112434
2022-06-18,112433
2022-06-19,112441
2022-06-21,112515
2022-06-22,112478
2022-06-24,112485
2022-06-25,112496
2022-06-26,112501
2022-06-28,112532
2022-06-29,112520
2022-06-30,112535
2022-07-02,112683
2022-07-03,112727
2022-07-04,112715
2022-07-05,112751
2022-07-06,112680
2022-07-07,112607
2022-07-08,112342
2022-07-09,112014
2022-07-10,112051
2022-07-11,112088
2022-07-13,112124
2022-07-14,112196
2022-07-15,112232
2022-07-16,112268
2022-07-17,112304
2022-07-19,112340
2022-07-20,112377
2022-07-21,112443
2022-07-23,112479
2022-07-24,112482
2022-07-25,112518
2022-07-26,112554
2022-07-27,112590
2022-07-28,112626
2022-07-29,112698
2022-07-31,112729
2022-08-01,112762
2022-08-02,112798
2022-08-04,112827
2022-08-05,112846
2022-08-06,112882
2022-08-07,112908
2022-08-08,112932
2022-08-10,112965
2022-08-11,112985
2022-08-12,113010
2022-08-14,113023
2022-08-15,113043
2022-08-16,113051
2022-08-18,113059
2022-08-19,113081
2022-08-20,113098
2022-08-22,113090
2022-08-23,113129
2022-08-24,113172
2022-08-26,113204
2022-08-27,113241
2022-08-28,113268
2022-08-29,113305
2022-08-30,113336
2022-09-01,113349
2022-09-02,113346
2022-09-03,113363
2022-09-05,113365
2022-09-06,113373
2022-09-07,113373
2022-09-09,113364
