,421267475
2019-05-31,2324
2019-06-01,2440
2019-06-02,2478
2019-06-03,2499
2019-06-04,2568
2019-06-05,2612
2019-06-06,2635
2019-06-07,2894
2019-06-08,3008
2019-06-09,3042
2019-06-10,3090
2019-06-11,3152
2019-06-12,3197
2019-06-13,3226
2019-06-14,3247
2019-06-15,3305
2019-06-16,3327
2019-06-17,3419
2019-06-18,3463
2019-06-19,3497
2019-06-20,3544
2019-06-21,3749
2019-06-22,3902
2019-06-23,4028
2019-06-24,4123
2019-06-25,4376
2019-06-26,4738
2019-06-27,4874
2019-06-28,4952
2019-06-29,5256
2019-06-30,5328
2019-07-01,5398
2019-07-02,5683
2019-07-03,5753
2019-07-04,5791
2019-07-05,6042
2019-07-06,6737
2019-07-07,6778
2019-07-08,6830
2019-07-09,6886
2019-07-10,6919
2019-07-11,6950
2019-07-12,6976
2019-07-13,6994
2019-07-14,7094
2019-07-15,7294
2019-07-16,7349
2019-07-17,7421
2019-07-18,7509
2019-07-19,7555
2019-07-20,7725
2019-07-21,7828
2019-07-22,8123
2019-07-23,8311
2019-07-24,8456
2019-07-25,8610
2019-07-26,8757
2019-07-27,9651
2019-07-28,10440
2019-07-29,10493
2019-07-30,10599
2019-07-31,10647
2019-08-01,10694
2019-08-02,10753
2019-08-03,10802
2019-08-04,10903
2019-08-05,10978
2019-08-06,11044
2019-08-07,11083
2019-08-08,11174
2019-08-09,11219
2019-08-10,11265
2019-08-11,11323
2019-08-12,11563
2019-08-13,11840
2019-08-14,12028
2019-08-15,12130
2019-08-16,12293
2019-08-17,12426
2019-08-18,12535
2019-08-19,12770
2019-08-20,12953
2019-08-21,13087
2019-08-22,13295
2019-08-23,13457
2019-08-24,13774
2019-08-25,13950
2019-08-26,14081
2019-08-27,14175
2019-08-28,14281
2019-08-29,14374
2019-08-30,14699
2019-08-31,14809
2019-09-01,14828
2019-09-02,14885
2019-09-03,14995
2019-09-04,15023
2019-09-05,15070
2019-09-06,15104
2019-09-07,15350
2019-09-08,15433
2019-09-09,15501
2019-09-10,15576
2019-09-11,15650
2019-09-12,15710
2019-09-13,15776
2019-09-14,15847
2019-09-15,15885
2019-09-16,15916
2019-09-17,15993
2019-09-18,16013
2019-09-19,16091
2019-09-20,16261
2019-09-21,16681
2019-09-22,16804
2019-09-23,16922
2019-09-24,17022
2019-09-25,17132
2019-09-26,17267
2019-09-27,17361
2019-09-28,17722
2019-09-29,18076
2019-09-30,18686
2019-10-01,19176
2019-10-02,19330
2019-10-03,19383
2019-10-04,19543
2019-10-05,19976
2019-10-06,20502
2019-10-07,20730
2019-10-08,20884
2019-10-09,21065
2019-10-10,21335
2019-10-11,21647
2019-10-12,21829
2019-10-13,22198
2019-10-14,22424
2019-10-15,23065
2019-10-16,23840
2019-10-17,24575
2019-10-18,25019
2019-10-19,25516
2019-10-20,26022
2019-10-21,26516
2019-10-22,26994
2019-10-23,27342
2019-10-24,27618
2019-10-25,27935
2019-10-26,28155
2019-10-27,28373
2019-10-28,28540
2019-10-29,28684
2019-10-30,28877
2019-10-31,29106
2019-11-01,29358
2019-11-02,30182
2019-11-03,31152
2019-11-04,31345
2019-11-05,31526
2019-11-06,31695
2019-11-07,31860
2019-11-08,31983
2019-11-09,32189
2019-11-10,32303
2019-11-11,32742
2019-11-12,33960
2019-11-13,34657
2019-11-14,35135
2019-11-15,35314
2019-11-16,35767
2019-11-17,36350
2019-11-18,36809
2019-11-19,37427
2019-11-20,37672
2019-11-21,37848
2019-11-22,38087
2019-11-23,38591
2019-11-24,38774
2019-11-25,38902
2019-11-26,39072
2019-11-27,39164
2019-11-28,39286
2019-11-29,39413
2019-11-30,39530
2019-12-01,39663
2019-12-02,39708
2019-12-03,39764
2019-12-04,39885
2019-12-05,39987
2019-12-06,40090
2019-12-07,40187
2019-12-08,40270
2019-12-09,40340
2019-12-10,40439
2019-12-11,40479
2019-12-12,40576
2019-12-13,40631
2019-12-14,40701
2019-12-15,40764
2019-12-16,40841
2019-12-17,40932
2019-12-18,41088
2019-12-19,41382
2019-12-20,41576
2019-12-21,41684
2019-12-22,41831
2019-12-23,41908
2019-12-24,42023
2019-12-25,42059
2019-12-26,42170
2019-12-27,42224
2019-12-28,42280
2019-12-29,42332
2019-12-30,42779
2019-12-31,42965
2020-01-01,43101
2020-01-02,43240
2020-01-03,43401
2020-01-04,43559
2020-01-05,43702
2020-01-06,43820
2020-01-07,43873
2020-01-08,43944
2020-01-09,44013
2020-01-10,44065
2020-01-11,44114
2020-01-12,44154
2020-01-13,44225
2020-01-14,44290
2020-01-15,44370
2020-01-16,44405
2020-01-17,44449
2020-01-18,44505
2020-01-19,44538
2020-01-20,44631
2020-01-21,44681
2020-01-22,44806
2020-01-23,44903
2020-01-24,45020
2020-01-25,45145
2020-01-26,45376
2020-01-27,45667
2020-01-28,45880
2020-01-29,46008
2020-01-30,46137
2020-01-31,46384
2020-02-01,46629
2020-02-02,46965
2020-02-03,47191
2020-02-04,47396
2020-02-05,47547
2020-02-06,47668
2020-02-07,47809
2020-02-08,47925
2020-02-09,47997
2020-02-10,48093
2020-02-11,48283
2020-02-12,48431
2020-02-13,48565
2020-02-14,48643
2020-02-15,48716
2020-02-16,48836
2020-02-17,48933
2020-02-18,49111
2020-02-19,49174
2020-02-20,49425
