,follower
2021-09-25,2029
2021-09-26,2205
2021-09-27,2343
2021-09-28,2410
2021-09-29,2452
2021-09-30,2556
2021-10-01,2634
2021-10-02,2979
2021-10-03,3491
2021-10-04,4413
2021-10-05,4566
2021-10-06,4654
2021-10-07,4805
2021-10-08,4863
2021-10-09,4910
2021-10-10,4931
2021-10-11,4972
2021-10-12,4989
2021-10-13,5015
2021-10-14,5021
2021-10-15,5041
2021-10-16,5087
2021-10-17,5114
2021-10-18,5126
2021-10-19,5132
2021-10-20,5138
2021-10-21,5144
2021-10-22,5150
2021-10-23,5172
2021-10-24,5186
2021-10-25,5205
2021-10-26,5229
2021-10-27,5236
2021-10-28,5239
2021-10-29,5245
2021-11-02,5516
2021-11-03,5522
2021-11-04,5534
2021-11-05,5567
2021-11-06,5589
2021-11-07,5595
2021-11-08,5621
2021-11-09,5640
2021-11-10,5652
2021-11-11,5664
2021-11-12,5677
2021-11-13,5689
2021-11-14,5702
2021-11-16,5707
2021-11-17,5719
2021-11-19,5725
2021-11-20,5733
2021-11-22,5744
2021-12-05,5784
2021-12-06,5791
2021-12-07,5797
2021-12-09,5815
2021-12-11,5820
2021-12-12,5834
2021-12-14,5833
2021-12-15,5839
2021-12-16,5845
2021-12-18,5851
2021-12-20,5853
2021-12-21,5861
2021-12-22,5867
2021-12-23,5873
2021-12-24,5879
2021-12-25,5891
2021-12-26,5897
2021-12-27,5903
2021-12-28,5909
2021-12-29,5915
2021-12-30,5921
2022-01-01,5943
2022-01-02,5957
2022-01-03,5980
2022-01-04,5992
2022-01-05,5998
2022-01-06,6004
2022-01-07,6011
2022-01-09,6005
2022-01-11,6012
2022-01-12,6019
2022-01-13,6020
2022-01-15,6016
2022-01-16,6020
2022-01-17,6022
2022-01-18,6030
2022-01-19,6044
2022-01-21,6047
2022-01-22,6048
2022-01-23,6062
2022-01-24,6070
2022-01-26,6080
2022-01-28,6092
2022-01-30,6091
2022-02-01,6117
2022-02-04,6128
2022-02-05,6136
2022-02-06,6155
2022-02-07,6176
2022-02-08,6183
2022-02-09,6190
2022-02-10,6204
2022-02-11,6225
2022-02-12,6239
2022-02-14,6246
2022-02-15,7026
2022-02-16,7008
2022-02-17,6998
2022-02-18,6991
2022-02-19,6974
2022-02-21,6971
2022-02-22,6973
2022-02-23,6973
2022-02-25,6973
2022-02-26,6970
2022-02-27,6972
2022-02-28,6958
2022-03-01,6969
2022-03-02,6977
2022-03-03,6970
2022-03-04,6962
2022-03-06,6965
2022-03-08,6956
2022-03-09,6949
2022-03-11,6954
2022-03-12,6968
2022-03-14,6973
2022-03-15,6977
2022-03-16,6979
2022-03-18,6975
2022-03-19,6970
2022-03-21,6966
2022-03-22,6965
2022-03-23,6967
2022-03-25,6972
2022-03-26,6978
2022-03-27,6971
2022-03-29,6970
2022-03-30,6972
2022-03-31,6979
2022-04-01,6986
2022-04-02,6983
2022-04-03,6990
2022-04-04,6997
2022-04-05,6996
2022-04-07,6993
2022-04-08,7000
2022-04-09,7001
2022-04-11,7014
2022-04-13,7014
2022-04-14,7017
2022-04-16,7012
2022-04-17,7018
2022-04-18,7019
2022-04-20,7015
2022-04-21,7015
2022-04-22,7016
2022-04-24,7016
2022-04-25,7016
2022-04-26,7022
2022-04-28,7017
2022-04-29,7016
2022-04-30,7017
2022-05-01,7034
2022-05-02,7059
2022-05-03,7093
2022-05-04,7109
2022-05-05,7118
2022-05-06,7133
2022-05-07,7149
2022-05-08,7157
2022-05-09,7173
2022-05-10,7182
2022-05-11,7198
2022-05-12,7207
2022-05-13,7223
2022-05-14,7239
2022-05-15,7263
2022-05-16,7288
2022-05-17,7296
2022-05-18,7304
2022-05-19,7312
2022-05-20,7328
2022-05-21,7336
2022-05-22,7352
2022-05-23,7368
2022-05-25,7382
2022-05-26,7390
2022-05-27,7398
2022-05-28,7422
2022-05-29,7438
2022-05-31,7451
2022-06-01,7467
2022-06-02,7475
2022-06-03,7491
2022-06-04,7499
2022-06-05,7515
2022-06-06,7523
2022-06-07,7539
2022-06-08,7547
2022-06-10,7552
2022-06-11,7554
2022-06-12,7562
2022-06-13,7567
2022-06-14,7575
2022-06-15,7574
2022-06-16,7577
2022-06-17,7585
2022-06-19,7591
2022-06-20,7607
2022-06-21,7615
2022-06-23,7623
2022-06-24,7631
2022-06-25,7660
2022-06-26,7668
2022-06-27,7684
2022-06-28,7701
2022-06-29,7717
2022-06-30,7725
2022-07-01,7747
2022-07-02,7755
2022-07-03,7763
2022-07-04,7771
2022-07-05,7779
2022-07-06,7780
2022-07-07,7764
2022-07-08,7677
2022-07-09,7583
2022-07-10,7591
2022-07-11,7624
2022-07-12,7632
2022-07-13,7648
2022-07-14,7664
2022-07-15,7688
2022-07-16,7696
2022-07-17,7705
2022-07-18,7713
2022-07-19,7729
2022-07-20,7755
2022-07-21,7771
2022-07-22,7788
2022-07-23,7812
2022-07-24,7828
2022-07-25,7861
2022-07-26,7885
2022-07-27,7918
2022-07-28,7934
2022-07-29,7950
2022-07-30,7975
2022-07-31,7991
2022-08-01,8026
2022-08-02,8044
2022-08-03,8062
2022-08-04,8089
2022-08-05,8098
2022-08-06,8116
2022-08-07,8125
2022-08-08,8152
2022-08-09,8161
2022-08-10,8180
2022-08-11,8227
2022-08-12,8245
2022-08-13,8272
2022-08-14,8290
2022-08-15,8308
2022-08-16,8326
2022-08-17,8353
2022-08-18,8389
2022-08-19,8407
2022-08-20,8434
2022-08-21,8461
2022-08-22,8499
2022-08-23,8552
2022-08-24,8581
2022-08-25,8613
2022-08-26,8688
2022-08-27,8727
2022-08-28,8754
2022-08-29,8782
2022-08-30,8810
2022-08-31,8841
2022-09-01,8860
2022-09-02,8869
2022-09-03,8908
2022-09-04,8951
2022-09-05,8969
2022-09-06,8998
2022-09-07,9007
2022-09-08,9028
2022-09-09,9038
2022-09-10,9058
