,follower
2020-04-22,3864
2020-04-23,3900
2020-04-24,3971
2020-04-25,4030
2020-04-26,4083
2020-04-27,4116
2020-04-28,4156
2020-04-29,4197
2020-04-30,4232
2020-05-01,4259
2020-05-02,4295
2020-05-03,4324
2020-05-04,4366
2020-05-05,4405
2020-05-06,4428
2020-05-07,4467
2020-05-08,4497
2020-05-09,4534
2020-05-10,4577
2020-05-12,4617
2020-05-13,4627
2020-05-14,4649
2020-05-17,4698
2020-05-22,4761
2020-05-23,4779
2020-06-20,4976
2020-06-23,4999
2020-06-25,5036
2020-06-28,5055
2020-07-07,5100
2020-07-14,5151
2020-07-31,5282
2020-08-07,5354
2020-08-19,5594
2020-08-25,5602
2020-09-02,5612
2020-09-18,5639
2020-09-22,5645
2020-09-26,5639
2020-10-01,5649
2020-10-05,5655
2020-10-16,5721
2020-10-20,5722
2020-10-24,5726
2020-10-28,5726
2020-11-02,5725
2020-11-06,5729
2020-11-10,5727
2020-11-14,5725
2020-11-18,5724
2020-11-22,5726
2020-11-26,5724
2020-11-30,5722
2020-12-04,5717
2020-12-14,5724
2020-12-26,5766
2020-12-30,5768
2021-01-03,5768
2021-01-07,5774
2021-02-07,5834
2021-02-15,5842
2021-02-18,5852
2021-03-05,5858
2021-03-09,5859
2021-03-13,5861
2021-03-15,6366
2021-03-16,6594
2021-03-17,6647
2021-03-18,6707
2021-03-19,6752
2021-03-20,7004
2021-03-21,7066
2021-03-27,7254
2021-03-29,7311
2021-04-01,7367
2021-04-02,7392
2021-04-03,7434
2021-04-06,7466
2021-04-09,7500
2021-04-12,7557
2021-04-14,7594
2021-04-19,7661
2021-04-21,7666
2021-04-25,7691
2021-05-06,7798
2021-05-09,7817
2021-05-13,7838
2021-05-18,7900
2021-05-22,7917
2021-05-24,7941
2021-05-26,7946
2021-05-31,7998
2021-06-04,8013
2021-06-08,8030
2021-06-10,8047
2021-06-12,8057
2021-06-19,8091
2021-06-21,8109
2021-06-23,8127
2021-07-06,8290
2021-07-10,8354
2021-07-12,8380
2021-07-14,8438
2021-07-15,8447
2021-07-19,8572
2021-07-20,8629
2021-07-27,8781
2021-07-28,9105
2021-07-29,9622
2021-07-30,10209
2021-07-31,10673
2021-08-01,11151
2021-08-02,11475
2021-08-03,11700
2021-08-04,11858
2021-08-05,11981
2021-08-06,12067
2021-08-07,12146
2021-08-08,12226
2021-08-09,12296
2021-08-10,12349
2021-08-11,12388
2021-08-13,12518
2021-08-14,12657
2021-08-15,12752
2021-08-16,12943
2021-08-17,13077
2021-08-18,13167
2021-08-19,13243
2021-08-20,13341
2021-08-21,13386
2021-08-22,13530
2021-08-25,13685
2021-08-26,13779
2021-08-28,13865
2021-08-29,13923
2021-08-30,14615
2021-08-31,14869
2021-09-04,16062
2021-09-09,16182
2021-09-20,16338
2021-09-23,16367
2021-09-26,16412
2021-10-01,16483
2021-10-02,16503
2021-10-07,16605
2021-10-23,16832
2021-11-04,16959
2021-11-06,16990
2021-11-11,17039
2021-11-15,17112
2021-12-15,17395
2021-12-20,17496
2021-12-25,17572
2022-01-04,17744
2022-01-05,17763
2022-01-09,17827
2022-01-13,17896
2022-01-18,18017
2022-01-23,18144
2022-01-28,18203
2022-01-31,18279
2022-02-07,18372
2022-02-10,18389
2022-02-13,18499
2022-02-17,18505
2022-02-21,18489
2022-02-24,18518
2022-02-27,18558
2022-03-03,18573
2022-03-07,18602
2022-03-19,18697
2022-03-23,18711
2022-03-27,18715
2022-03-31,18730
2022-04-04,18735
2022-04-08,18763
2022-04-12,18780
2022-04-17,18814
2022-04-21,18804
2022-04-25,18807
2022-04-28,18811
2022-05-16,19036
2022-05-20,19088
2022-05-23,19099
2022-05-26,19154
2022-06-01,19241
2022-06-05,19255
2022-06-09,19256
2022-06-18,19250
2022-06-22,19230
2022-06-26,19217
2022-06-30,19223
2022-07-04,19220
2022-07-08,19222
2022-07-25,19369
2022-07-27,19510
2022-07-28,19716
2022-07-29,20235
2022-07-30,20519
2022-07-31,21158
2022-08-01,21189
2022-08-07,21229
2022-08-11,21269
2022-08-15,21272
2022-08-19,21271
2022-08-23,21305
2022-08-27,21329
2022-08-31,21286
2022-09-04,21304
2022-09-10,21330
