,follower
2020-07-27,7516
2020-07-28,7758
2020-07-29,8528
2020-07-30,9963
2020-07-31,11559
2020-08-01,11976
2020-08-02,12233
2020-08-05,12734
2020-08-06,12927
2020-08-07,12999
2020-08-08,13074
2020-08-16,14406
2020-08-17,14569
2020-08-18,14706
2020-08-19,14862
2020-08-20,14958
2020-08-21,15089
2020-08-22,15255
2020-08-23,15377
2020-08-24,15397
2020-08-25,15514
2020-08-27,15647
2020-08-29,15715
2020-08-30,15748
2020-09-02,15882
2020-09-03,15935
2020-09-19,16531
2020-10-02,16538
2020-10-03,16517
2020-10-04,16422
2020-10-13,16543
2020-10-19,16763
2020-10-22,16826
2020-10-23,16860
2020-10-27,16862
2020-10-29,16883
2020-11-01,17108
2020-11-05,17655
2020-11-07,17731
2020-11-08,17893
2020-11-11,17923
2020-11-13,18194
2020-11-15,18252
2020-11-17,18290
2020-11-19,18328
2020-11-20,18368
2020-11-21,18387
2020-11-23,18565
2020-11-24,18652
2020-11-25,18728
2020-11-26,18830
2020-11-27,19049
2020-11-28,19165
2020-11-29,19345
2020-11-30,19577
2020-12-01,19804
2020-12-02,19847
2020-12-03,19892
2020-12-04,19937
2020-12-05,19977
2020-12-06,20066
2020-12-07,20110
2020-12-08,20176
2020-12-09,20240
2020-12-13,20432
2020-12-14,20457
2020-12-16,20494
2020-12-17,20546
2020-12-18,20639
2020-12-19,20702
2020-12-20,20787
2020-12-21,20923
2020-12-22,20965
2020-12-23,21034
2020-12-24,21101
2020-12-25,21169
2020-12-26,21214
2020-12-27,21307
2020-12-28,21364
2020-12-29,21435
2020-12-30,21747
2020-12-31,21865
2021-01-02,22025
2021-01-03,22643
2021-01-04,22730
2021-01-06,23132
2021-01-09,23466
2021-01-11,23670
2021-01-15,24269
2021-01-16,24347
2021-01-20,24602
2021-01-22,24680
2021-01-24,24890
2021-01-25,24940
2021-01-26,24967
2021-01-27,25017
2021-01-29,25179
2021-01-31,25257
2021-02-01,25310
2021-02-04,25441
2021-02-07,25583
2021-02-08,25637
2021-02-10,25685
2021-02-11,25715
2021-02-12,25792
2021-02-15,25892
2021-02-17,26086
2021-02-18,26120
2021-02-19,26323
2021-02-20,26560
2021-02-21,27172
2021-02-22,27385
2021-02-23,27608
2021-02-24,27754
2021-02-26,28014
2021-02-27,28933
2021-02-28,29205
2021-03-03,31008
2021-03-04,31074
2021-03-05,31176
2021-03-09,31438
2021-03-10,31502
2021-03-11,31601
2021-03-12,31669
2021-03-18,32127
2021-03-19,32196
2021-03-23,32473
2021-03-24,32613
2021-03-27,32785
2021-03-28,32851
2021-03-31,32894
2021-04-05,33077
2021-04-07,33136
2021-04-09,34813
2021-04-10,34740
2021-04-13,34741
2021-04-14,34811
2021-04-16,34916
2021-04-17,34952
2021-04-19,35292
2021-04-23,35572
2021-04-26,35754
2021-04-29,35892
2021-05-06,37208
2021-05-09,37743
2021-05-13,37789
2021-05-18,38013
2021-05-19,38164
2021-05-20,38202
2021-05-23,38537
2021-05-24,38652
2021-05-25,38804
2021-05-28,39024
2021-06-01,40192
2021-06-06,40560
2021-06-07,40632
2021-06-10,41396
2021-06-12,41612
2021-06-18,42501
2021-06-21,42595
2021-06-23,42740
2021-06-26,43565
2021-07-01,44410
2021-07-02,44451
2021-07-05,45360
2021-07-07,45540
2021-07-09,45686
2021-07-14,45982
2021-07-16,46023
2021-07-18,46346
2021-07-19,46383
2021-07-24,47092
2021-07-28,47752
2021-07-30,47822
2021-08-11,50825
2021-08-13,50861
2021-08-16,51163
2021-08-20,51200
2021-08-21,51409
2021-08-24,51693
2021-08-26,51886
2021-08-28,52652
2021-08-29,52889
2021-09-05,55403
2021-09-11,56751
2021-09-17,57697
2021-09-18,57892
2021-09-19,58418
2021-09-20,58592
2021-09-21,58832
2021-09-27,59409
2021-09-29,59534
2021-10-05,60022
2021-10-07,60171
2021-10-08,60212
2021-10-09,60250
2021-10-13,60594
2021-10-14,60716
2021-10-20,61802
2021-10-22,61842
2021-10-25,62134
2021-11-03,63340
2021-11-07,63506
2021-11-09,63484
2021-11-12,63518
2021-11-14,63576
2021-11-17,63669
2021-11-20,63765
2021-12-06,67029
2021-12-10,67274
2021-12-11,67735
2021-12-19,68489
2021-12-20,68623
2021-12-23,68799
2021-12-24,69105
2021-12-25,69669
2021-12-26,69744
2021-12-28,70297
2022-01-03,70884
2022-01-04,71053
2022-01-06,71729
2022-01-07,72403
2022-01-08,72995
2022-01-09,73341
2022-01-10,73610
2022-01-14,74075
2022-01-20,77265
