,follower
1662816907634,171061
2020-01-25,10006
2020-01-26,10322
2020-01-27,10496
2020-01-28,10652
2020-01-29,10770
2020-01-30,10951
2020-01-31,11231
2020-02-01,11421
2020-02-02,11737
2020-02-03,11887
2020-02-04,12058
2020-02-05,12122
2020-02-06,12230
2020-02-07,12358
2020-02-08,12545
2020-02-09,12608
2020-02-10,12727
2020-02-11,12783
2020-02-12,12834
2020-02-13,12882
2020-02-14,13132
2020-02-15,13418
2020-02-16,13687
2020-02-17,13750
2020-02-18,13812
2020-02-19,13868
2020-02-20,13910
2020-02-21,13960
2020-02-22,14188
2020-02-23,15006
2020-02-24,15366
2020-02-25,15493
2020-02-26,15685
2020-02-27,15714
2020-02-28,15868
2020-02-29,15972
2020-03-01,16083
2020-03-02,16221
2020-03-03,16322
2020-03-04,16401
2020-03-05,16463
2020-03-06,16569
2020-03-07,16781
2020-03-08,16963
2020-03-09,17037
2020-03-10,17089
2020-03-11,17167
2020-03-12,17210
2020-03-13,17983
2020-03-14,18278
2020-03-15,18478
2020-03-16,18632
2020-03-17,18697
2020-03-18,18955
2020-03-19,19534
2020-03-20,19997
2020-03-21,20117
2020-03-22,20294
2020-03-23,20383
2020-03-24,20460
2020-03-25,20848
2020-03-26,21938
2020-03-27,22384
2020-03-28,22523
2020-03-29,22641
2020-03-30,22787
2020-03-31,22901
2020-04-01,23046
2020-04-02,23148
2020-04-03,23245
2020-04-04,23453
2020-04-05,23695
2020-04-06,23841
2020-04-07,23932
2020-04-08,24095
2020-04-09,24210
2020-04-10,24262
2020-04-11,24384
2020-04-12,24554
2020-04-13,24778
2020-04-14,24932
2020-04-15,25468
2020-04-16,25872
2020-04-17,26005
2020-04-18,26125
2020-04-19,26271
2020-04-20,26381
2020-04-21,26541
2020-04-22,26719
2020-04-23,26936
2020-04-24,27308
2020-04-25,27481
2020-04-26,27560
2020-04-27,27875
2020-04-28,28125
2020-04-29,28332
2020-04-30,28677
2020-05-01,28849
2020-05-02,28996
2020-05-03,29105
2020-05-04,29232
2020-05-05,29359
2020-05-06,29445
2020-05-07,29611
2020-05-08,29921
2020-05-09,30405
2020-05-10,30852
2020-05-11,30979
2020-05-12,31796
2020-05-13,31996
2020-05-14,32185
2020-05-15,32259
2020-05-16,32682
2020-05-17,32980
2020-05-18,33177
2020-05-19,33456
2020-05-20,33726
2020-05-21,33933
2020-05-22,34309
2020-05-23,34758
2020-05-24,34793
2020-05-25,35249
2020-05-26,35386
2020-05-27,36167
2020-05-29,36796
2020-05-30,37386
2020-06-02,37792
2020-06-03,38117
2020-06-04,38279
2020-06-05,38479
2020-06-06,38791
2020-06-07,38829
2020-06-12,39707
2020-06-16,40349
2020-06-18,40662
2020-06-19,40748
2020-06-21,40944
2020-06-25,41284
2020-06-26,41383
2020-06-27,41547
2020-06-28,41589
2020-06-30,41673
2020-07-02,41827
2020-07-03,41946
2020-07-05,42131
2020-07-06,42242
2020-07-07,42430
2020-07-08,42525
2020-07-12,42915
2020-07-13,43110
2020-07-15,43289
2020-07-17,43597
2020-07-18,43758
2020-07-20,43928
2020-07-21,44258
2020-07-22,45202
2020-07-23,46824
2020-07-26,47151
2020-07-27,47537
2020-07-28,48304
2020-07-29,48568
2020-07-31,49220
2020-08-02,49560
2020-08-03,49598
2020-08-06,50245
2020-08-07,50282
2020-08-17,52413
2020-08-18,52529
2020-08-20,52812
2020-08-21,53929
2020-08-22,54181
2020-08-23,55194
2020-08-27,55423
2020-08-29,55616
2020-08-31,55799
2020-09-18,57072
2020-09-20,57221
2020-09-22,57264
2020-09-23,57510
2020-09-30,57850
2020-10-02,58446
2020-10-03,58790
2020-10-10,58924
2020-10-11,59109
2020-10-12,59145
2020-10-13,59256
2020-10-17,59358
2020-10-31,59730
2020-11-01,60919
2020-11-02,61388
2020-11-06,62339
2020-11-07,65960
2020-11-08,66038
2020-11-12,67199
2020-11-14,67236
2020-11-17,67302
2020-11-19,67320
2020-11-27,67668
2020-11-28,67742
2020-12-04,68150
2020-12-05,68301
2020-12-12,68727
2020-12-13,68800
2020-12-14,68872
2020-12-17,69017
2020-12-23,70100
2020-12-24,70246
2020-12-25,70433
2020-12-26,70617
2020-12-28,70880
2020-12-31,72937
2021-01-01,74980
2021-01-02,75091
2021-01-05,75349
2021-01-06,75422
2021-01-10,75790
2021-01-12,75810
2021-01-18,76130
2021-01-23,76349
2021-01-27,76795
2021-01-28,77002
2021-01-29,77227
2021-02-01,77605
2021-02-03,77832
2021-02-05,78048
2021-02-10,78550
2021-02-12,78821
2021-02-13,79065
2021-02-14,79818
2021-02-15,80524
2021-02-17,81107
2021-02-19,81725
2021-02-20,82042
2021-02-21,82240
2021-02-22,82390
2021-02-25,82859
2021-02-26,82974
2021-02-27,83082
2021-02-28,83161
2021-03-03,83710
2021-03-05,84181
2021-03-06,84446
2021-03-07,84674
2021-03-08,84826
2021-03-10,85127
2021-03-11,85241
2021-03-12,85389
2021-03-13,85577
2021-03-14,86240
2021-03-15,86685
2021-03-16,87687
2021-03-17,88456
2021-03-18,88947
2021-03-19,89304
2021-03-20,89825
2021-03-21,90240
2021-03-22,90444
2021-03-23,90701
2021-03-24,90932
2021-03-26,91354
2021-03-29,92092
2021-03-30,92285
2021-03-31,92569
2021-04-01,92797
2021-04-03,93280
2021-04-04,94087
2021-04-05,95304
2021-04-06,95980
2021-04-07,96417
2021-04-09,96657
2021-04-13,97228
2021-04-14,97338
2021-04-18,97823
2021-04-21,98013
2021-04-22,98093
2021-04-29,98765
2021-05-02,99101
2021-05-04,99523
2021-05-07,100027
2021-05-09,100877
2021-05-10,100990
2021-05-11,101576
2021-05-21,102021
2021-05-25,102569
2021-05-26,103124
2021-05-27,103606
2021-05-29,103503
2021-06-07,103661
2021-06-08,104592
2021-06-09,104984
2021-06-17,105721
2021-06-19,105947
2021-06-20,106061
2021-06-21,106137
2021-06-22,106386
2021-06-23,106887
2021-06-24,107394
2021-06-26,108091
2021-06-27,108140
2021-06-28,108442
2021-06-29,108519
2021-06-30,108908
2021-07-01,109005
2021-07-04,109992
2021-07-05,110064
2021-07-08,110368
2021-07-11,110704
2021-07-13,110967
2021-07-17,111432
2021-07-18,111508
2021-07-23,112355
2021-07-24,113354
2021-07-25,113987
2021-07-27,114903
2021-07-28,115144
2021-07-30,115733
2021-07-31,115965
2021-08-01,116201
2021-08-04,118490
2021-08-05,118884
2021-08-06,119113
2021-08-10,119776
2021-08-12,120785
2021-08-13,121252
2021-08-20,121950
2021-08-23,122545
2021-08-24,122774
2021-08-26,123126
2021-08-28,123598
2021-08-29,123961
2021-08-31,124201
2021-09-10,124960
2021-09-16,125133
2021-09-17,125257
2021-09-19,125939
2021-09-20,126131
2021-09-25,127016
2021-10-10,127587
2021-10-16,128202
2021-10-19,128746
2021-10-20,128867
2021-10-22,129423
2021-10-23,130059
2021-10-25,130296
2021-10-27,131060
2021-10-28,131440
2021-10-29,131487
2021-11-02,133032
2021-11-03,133379
2021-11-06,133894
2021-11-13,134470
2021-11-14,134668
2021-11-15,134762
2021-11-18,135046
2021-11-19,135141
2021-12-05,136250
2021-12-06,136287
2021-12-09,136918
2021-12-10,137001
2021-12-12,137117
2021-12-14,137230
2021-12-19,137479
2021-12-23,137813
2021-12-24,138170
2021-12-25,138209
2021-12-30,138963
2022-01-07,139415
2022-01-08,139492
2022-01-12,139651
2022-01-15,140018
2022-01-18,142047
2022-01-20,142182
2022-01-24,142485
2022-02-01,143106
2022-02-04,143719
2022-02-05,144207
2022-02-08,144531
2022-02-11,145060
2022-02-12,145211
2022-02-13,145522
2022-02-14,145749
2022-02-15,146621
2022-02-16,147119
2022-02-17,147979
2022-02-19,148613
2022-02-20,149356
2022-02-21,150805
2022-02-22,151092
2022-02-23,151134
2022-02-25,151347
2022-03-15,151517
2022-03-25,152111
2022-03-26,153399
2022-03-27,153672
2022-03-29,153990
2022-03-30,154288
2022-04-03,154291
2022-04-05,154448
2022-04-10,156596
2022-04-11,157323
2022-04-13,157200
2022-04-14,157157
2022-04-15,157164
2022-04-16,157125
2022-04-17,157089
2022-04-24,157163
2022-05-06,157412
2022-05-07,157523
2022-05-08,157631
2022-05-12,157704
2022-05-13,157740
2022-05-15,158279
2022-05-16,158593
2022-05-19,158661
2022-05-23,158820
