,follower
2021-01-13,131539
2021-01-17,131524
2021-01-19,131508
2021-01-20,132077
2021-01-22,132186
2021-01-23,132508
2021-01-24,132855
2021-01-25,133045
2021-02-02,134471
2021-02-07,135270
2021-02-11,142210
2021-02-12,156548
2021-02-13,164297
2021-02-14,168206
2021-02-15,173540
2021-02-16,176748
2021-02-17,183668
2021-02-18,189781
2021-02-19,194470
2021-02-20,197040
2021-02-21,200322
2021-02-22,202511
2021-02-23,208818
2021-02-24,209386
2021-02-25,211465
2021-02-26,215247
2021-02-27,218028
2021-02-28,218822
2021-03-01,219333
2021-03-02,219524
2021-03-03,219943
2021-03-04,220258
2021-03-05,222659
2021-03-06,224828
2021-03-07,225721
2021-03-08,225760
2021-03-09,226291
2021-03-10,227268
2021-03-11,228516
2021-03-12,228953
2021-03-13,229562
2021-03-14,230274
2021-03-15,230544
2021-03-16,231399
2021-03-17,231669
2021-03-18,232351
2021-03-19,232423
2021-03-20,232877
2021-03-21,232916
2021-03-24,234581
2021-03-25,234838
2021-03-26,235120
2021-03-27,237995
2021-03-28,241071
2021-03-29,242073
2021-03-30,243280
2021-03-31,243997
2021-04-01,243951
2021-04-02,244156
2021-04-03,244651
2021-04-04,244804
2021-04-12,246334
2021-04-18,246737
2021-04-20,246809
2021-04-23,246977
2021-04-27,247047
2021-04-28,248729
2021-04-29,248961
2021-05-10,249972
2021-05-17,249998
2021-05-21,250002
2021-05-23,249977
2021-05-28,250691
2021-05-29,252250
2021-06-16,256091
2021-06-20,256533
2021-06-21,256461
2021-06-25,256457
2021-06-28,256376
2021-06-30,256576
2021-07-01,256910
2021-07-03,257021
2021-07-09,257732
2021-07-11,257976
2021-07-12,258015
2021-07-13,258531
2021-07-14,258820
2021-07-18,259583
2021-07-20,259962
2021-07-21,260263
2021-07-23,260420
2021-07-26,260962
2021-07-27,261239
2021-07-28,261425
2021-07-30,262049
2021-07-31,262090
2021-08-08,263250
2021-08-09,263455
2021-08-14,264597
2021-08-15,265043
2021-08-16,265292
2021-08-17,265483
2021-08-18,265597
2021-08-19,265941
2021-08-21,266320
