,follower
2021-05-04,2919
2021-05-05,3084
2021-05-06,3182
2021-05-07,3306
2021-05-08,3518
2021-05-09,4172
2021-05-10,4425
2021-05-11,4597
2021-05-12,4707
2021-05-13,4760
2021-05-14,4883
2021-05-15,4988
2021-05-16,5124
2021-05-17,5225
2021-05-18,5268
2021-05-19,5356
2021-05-20,5404
2021-05-21,5488
2021-05-22,5644
2021-05-23,5808
2021-05-24,5930
2021-05-25,6027
2021-05-26,6085
2021-05-28,6206
2021-05-29,6298
2021-05-30,6305
2021-06-01,6491
2021-06-02,6568
2021-06-03,6676
2021-06-04,6828
2021-06-05,6953
2021-06-06,7079
2021-06-08,7211
2021-06-11,7368
2021-06-12,7444
2021-06-13,7504
2021-06-14,7539
2021-06-15,7582
2021-06-17,7651
2021-06-18,7716
2021-06-19,7798
2021-06-20,7851
2021-06-22,7893
2021-06-23,7926
2021-06-24,7952
2021-06-25,8005
2021-06-26,8108
2021-06-27,8197
2021-06-28,8224
2021-07-03,8343
2021-07-05,8380
2021-07-06,8407
2021-07-07,8425
2021-07-08,8463
2021-07-09,8491
2021-07-11,8576
2021-07-14,8680
2021-07-15,8719
2021-07-16,8829
2021-07-17,8848
2021-07-19,9055
2021-07-20,9227
2021-07-21,10236
2021-07-22,10261
2021-07-23,10462
2021-07-24,10912
2021-07-25,11095
2021-07-26,11215
2021-07-27,11527
2021-07-28,11708
2021-07-29,11798
2021-07-30,12144
2021-07-31,12381
2021-08-01,12450
2021-08-02,12518
2021-08-03,12531
2021-08-04,12628
2021-08-05,12671
2021-08-06,12774
2021-08-07,12877
2021-08-08,12929
2021-08-09,12942
2021-08-13,13221
2021-08-14,13360
2021-08-15,13482
2021-08-16,13552
2021-08-19,13664
2021-08-22,13779
2021-08-26,13943
2021-08-28,14039
2021-09-04,14221
2021-09-05,14253
2021-09-09,14294
2021-09-15,14343
2021-09-21,14570
2021-09-26,14623
2021-10-04,14811
2021-10-05,14889
2021-10-06,14936
2021-10-07,14968
2021-10-08,15016
2021-10-11,15116
2021-10-15,15204
2021-10-18,15321
2021-10-21,15456
2021-10-22,15521
2021-11-05,15926
2021-11-06,15959
2021-11-11,16096
2021-11-12,16166
2021-11-13,16279
2021-11-14,16355
2021-11-19,16493
2021-11-20,16546
2021-12-06,17101
2021-12-13,17227
2021-12-14,17247
2021-12-15,17284
2021-12-18,17376
2021-12-22,17484
2021-12-25,17553
2021-12-27,17666
2021-12-30,17807
2022-01-03,18084
2022-01-05,18168
2022-01-07,18230
2022-01-11,18389
2022-01-12,18408
2022-01-15,18663
2022-01-16,19250
2022-01-18,19468
2022-01-21,19727
2022-01-22,19747
2022-01-23,19962
2022-01-24,19982
2022-01-25,20186
2022-01-26,20228
2022-01-28,20528
2022-01-30,20615
2022-02-01,20680
2022-02-04,20991
2022-02-05,21246
2022-02-14,22094
2022-02-18,22100
2022-02-22,22142
2022-02-28,22304
2022-03-04,22323
2022-03-07,22463
2022-03-09,22471
2022-03-12,22845
2022-03-13,22893
2022-03-15,23135
2022-03-29,23550
2022-03-30,23659
2022-03-31,25171
2022-04-01,25317
2022-04-10,28564
2022-04-19,28545
2022-04-23,28596
2022-04-26,28687
2022-05-03,28732
2022-05-06,28879
2022-05-07,28908
2022-05-08,28938
2022-05-09,29289
2022-05-10,29918
2022-05-11,30011
2022-05-12,30092
2022-05-13,30154
2022-05-20,30452
2022-05-22,30555
2022-05-23,32937
2022-05-24,33686
2022-05-25,36292
2022-05-26,40465
2022-05-27,43188
2022-05-28,45410
2022-05-29,47803
2022-05-30,49456
2022-05-31,50690
2022-06-01,51767
2022-06-02,52827
2022-06-03,53559
2022-06-04,54218
2022-06-05,54734
2022-06-06,55297
2022-06-07,56388
2022-06-08,60774
2022-06-09,64433
2022-06-10,67096
2022-06-11,69186
2022-06-12,71076
2022-06-13,72444
2022-06-14,73781
2022-06-15,74853
2022-06-16,75823
2022-06-17,77880
2022-06-18,78594
2022-06-19,79215
2022-06-20,79591
2022-06-21,80276
2022-06-22,80959
2022-06-23,81563
2022-06-24,81934
2022-06-25,82346
2022-06-26,82704
2022-06-27,82964
2022-06-28,83298
2022-06-29,83598
2022-06-30,83634
2022-07-02,84218
2022-07-04,84619
2022-07-05,84766
2022-07-07,84964
2022-07-14,85732
2022-07-15,89269
2022-07-16,90488
2022-07-17,91282
2022-07-18,92818
2022-07-19,93902
2022-07-20,94514
2022-07-21,95201
2022-07-22,96012
2022-07-23,96500
2022-07-24,96942
2022-07-25,97406
2022-07-26,98014
2022-07-27,99022
2022-07-28,99739
2022-07-29,100372
2022-07-30,100820
2022-07-31,101156
2022-08-01,101415
2022-08-02,101452
2022-08-03,101896
2022-08-04,102124
2022-08-05,102420
2022-08-06,102602
2022-08-07,102785
2022-08-08,103042
2022-08-10,103411
2022-08-13,103777
2022-08-17,104225
2022-08-18,104662
2022-08-19,105378
2022-08-20,107167
2022-08-21,108570
2022-08-22,109229
2022-08-23,109724
2022-08-25,110190
2022-08-27,110846
2022-08-28,111078
2022-08-29,111477
2022-09-01,111993
2022-09-02,112385
2022-09-03,112422
2022-09-10,114029
