,follower
2020-10-10,9029
2020-10-11,9166
2020-10-12,9262
2020-10-13,9339
2020-10-14,9430
2020-10-15,9548
2020-10-16,9672
2020-10-17,9820
2020-10-18,9966
2020-10-19,10079
2020-10-20,10132
2020-10-21,10157
2020-10-22,10170
2020-10-23,10252
2020-10-24,10291
2020-10-26,10348
2020-10-27,10395
2020-10-28,10466
2020-10-29,10547
2020-11-01,10667
2020-11-03,10782
2020-11-04,10819
2020-11-05,10863
2020-11-06,11052
2020-11-07,11137
2020-11-08,11234
2020-11-09,11270
2020-11-10,11306
2020-11-11,11355
2020-11-12,11404
2020-11-18,11727
2020-11-20,11814
2020-11-21,11902
2020-11-22,12132
2020-11-23,12366
2020-11-24,12613
2020-11-25,12746
2020-11-27,13241
2020-11-28,14008
2020-11-29,14866
2020-11-30,15700
2020-12-01,16322
2020-12-02,16628
2020-12-03,16905
2020-12-04,17130
2020-12-05,17536
2020-12-06,17958
2020-12-10,18359
2020-12-11,18500
2020-12-12,18683
2020-12-13,18825
2020-12-14,19051
2020-12-15,19265
2020-12-16,19506
2020-12-17,19612
2020-12-18,19725
2020-12-19,19871
2020-12-20,20233
2020-12-21,20504
2020-12-22,20732
2020-12-23,20879
2020-12-24,20990
2020-12-25,22024
2020-12-26,23462
2020-12-29,23640
2020-12-31,23653
2021-01-01,23703
2021-01-02,23779
2021-01-05,23925
2021-01-08,24048
2021-01-09,24154
2021-01-10,24267
2021-01-11,24317
2021-01-12,24487
2021-01-13,24899
2021-01-14,25409
2021-01-15,25822
2021-01-16,26238
2021-01-17,26622
2021-01-18,26926
2021-01-19,27145
2021-01-20,27411
2021-01-21,27759
2021-01-22,28012
2021-01-23,30135
2021-01-24,32235
2021-01-25,32847
2021-01-26,33284
2021-01-27,33691
2021-01-28,34305
2021-01-29,34849
2021-01-30,35588
2021-01-31,36407
2021-02-01,37182
2021-02-02,37951
2021-02-03,38596
2021-02-04,39176
2021-02-05,39733
2021-02-06,40384
2021-02-07,41080
2021-02-08,41752
2021-02-09,41790
2021-02-10,42341
2021-02-12,42563
2021-02-13,42672
2021-02-15,42926
2021-02-16,43086
2021-02-17,43282
2021-02-19,43574
2021-02-21,43834
2021-02-27,45041
2021-02-28,45290
2021-03-04,46637
2021-03-07,46739
2021-03-14,47021
2021-03-16,47087
2021-03-17,47277
2021-03-19,47323
2021-03-20,47607
2021-03-21,47644
2021-03-23,47973
2021-03-28,48396
2021-03-30,48508
2021-04-01,48621
2021-04-06,48889
2021-04-08,48925
2021-04-11,49089
2021-04-14,49160
2021-04-21,49497
2021-04-25,49502
2021-04-29,49494
2021-05-03,49501
2021-05-07,49546
2021-05-17,49762
2021-05-21,49764
2021-05-25,49820
2021-05-30,49977
2021-06-08,50682
2021-06-13,50710
2021-06-25,50968
2021-07-07,51092
2021-07-11,51145
2021-07-16,51398
2021-07-17,51508
2021-07-26,51817
2021-08-01,52006
2021-08-05,52651
2021-08-06,53379
2021-08-07,53815
2021-08-08,53855
2021-08-10,54080
2021-08-14,54079
2021-08-22,54304
2021-08-28,54462
2021-09-01,54469
2021-09-05,54462
2021-09-20,54396
2021-09-24,54367
2021-09-30,54557
2021-10-05,54941
2021-10-08,54978
2021-10-11,55078
2021-10-16,55194
2021-10-21,55546
2021-10-25,55583
2021-11-07,55620
2021-11-11,55611
2021-11-17,55751
2021-12-09,56025
2021-12-13,56056
2021-12-17,56052
2021-12-19,56086
2021-12-21,56420
2021-12-22,56720
2021-12-23,56918
2021-12-24,57125
2021-12-25,57363
2021-12-29,58156
2021-12-31,58427
2022-01-01,58678
2022-01-02,59078
2022-01-04,59419
2022-01-06,59570
2022-01-15,60562
2022-01-22,63425
2022-01-23,63598
2022-01-26,63988
2022-02-01,63900
2022-02-06,63978
2022-02-11,63898
2022-02-13,64047
2022-02-16,64089
2022-02-20,64065
2022-02-24,64324
2022-02-25,64684
2022-02-26,65098
2022-02-27,65585
2022-03-20,68608
2022-03-21,68458
2022-03-27,68203
2022-04-01,68564
2022-04-02,69224
2022-04-03,69237
2022-04-13,68992
2022-04-18,68860
2022-04-22,68815
2022-04-26,68762
2022-04-30,68699
2022-05-04,68630
2022-05-09,68556
2022-05-12,68450
2022-05-15,68287
2022-05-23,68170
2022-05-30,68331
2022-05-31,68592
2022-06-01,68671
2022-06-07,68956
2022-06-10,69371
2022-06-11,69700
2022-06-14,69907
2022-06-18,70011
2022-06-23,70061
2022-07-01,70304
2022-07-07,70173
2022-07-08,69991
2022-07-10,69730
2022-07-14,69685
2022-07-18,69703
2022-07-23,69866
2022-07-25,69980
2022-07-27,70095
2022-07-28,70168
2022-07-31,70280
2022-08-04,70549
2022-08-07,70614
2022-08-08,70686
2022-08-13,70769
2022-08-15,70865
2022-08-16,71126
2022-08-17,71343
2022-08-18,71451
2022-08-19,72046
2022-08-20,72198
2022-08-25,72425
2022-08-27,72461
2022-08-28,72542
2022-08-29,72639
2022-09-04,72760
2022-09-10,72832
