,follower
2019-04-22,1997
2019-04-23,2004
2019-04-24,2017
2019-04-25,2028
2019-04-26,2052
2019-04-27,2062
2019-04-28,2069
2019-04-29,2078
2019-04-30,2093
2019-05-01,2105
2019-05-02,2113
2019-05-03,2121
2019-05-04,2128
2019-05-05,2132
2019-05-06,2138
2019-05-07,2144
2019-05-08,2148
2019-05-09,2153
2019-05-10,2157
2019-05-11,2161
2019-05-12,2162
2019-05-13,2164
2019-05-14,2166
2019-05-15,2171
2019-05-16,2430
2019-05-17,3970
2019-05-18,5425
2019-05-19,6986
2019-05-20,7267
2019-05-21,7537
2019-05-22,7745
2019-05-23,7858
2019-05-24,7967
2019-05-25,8092
2019-05-26,8196
2019-05-27,8258
2019-05-28,8305
2019-05-29,8406
2019-05-30,8473
2019-05-31,8517
2019-06-01,8723
2019-06-02,8837
2019-06-03,8887
2019-06-04,9003
2019-06-05,9057
2019-06-06,9196
2019-06-07,9475
2019-06-08,9712
2019-06-09,9699
2019-06-10,9852
2019-06-11,9997
2019-06-12,10167
2019-06-13,10348
2019-06-14,10534
2019-06-15,10730
2019-06-16,10930
2019-06-17,11082
2019-06-18,11125
2019-06-19,11148
2019-06-20,11154
2019-06-21,11168
2019-06-22,11174
2019-06-23,11197
2019-06-24,11207
2019-06-25,11224
2019-06-26,11232
2019-06-27,11236
2019-06-28,11283
2019-06-29,11300
2019-06-30,11328
2019-07-01,11362
2019-07-02,11377
2019-07-03,11410
2019-07-04,11421
2019-07-05,11455
2019-07-06,11540
2019-07-07,11701
2019-07-08,11754
2019-07-09,11774
2019-07-10,11837
2019-07-11,11884
2019-07-12,11914
2019-07-13,11945
2019-07-14,11966
2019-07-15,12004
2019-07-16,12020
2019-07-17,12036
2019-07-18,12040
2019-07-19,12056
2019-07-20,12066
2019-07-21,12082
2019-07-22,12121
2019-07-23,12126
2019-07-24,12150
2019-07-25,12169
2019-07-26,12201
2019-07-27,12225
2019-07-28,12238
2019-07-29,12260
2019-07-30,12285
2019-07-31,12368
2019-08-01,12415
2019-08-02,12468
2019-08-03,12480
2019-08-04,12489
2019-08-05,12495
2019-08-06,12506
2019-08-07,12523
2019-08-08,12527
2019-08-09,12561
2019-08-10,12619
2019-08-11,12940
2019-08-12,13558
2019-08-13,13734
2019-08-14,14137
2019-08-15,14333
2019-08-16,14454
2019-08-17,14532
2019-08-18,14629
2019-08-19,14901
2019-08-20,15036
2019-08-21,15130
2019-08-22,15226
2019-08-23,15367
2019-08-24,15481
2019-08-25,15562
2019-08-26,15677
2019-08-27,15712
2019-08-28,15741
2019-08-29,15853
2019-08-30,16002
2019-08-31,16088
2019-09-01,15950
2019-09-02,15898
2019-09-03,15871
2019-09-04,15860
2019-09-05,15853
2019-09-06,15844
2019-09-07,15828
2019-09-08,15816
2019-09-09,15805
2019-09-10,15798
2019-09-11,15795
2019-09-12,15789
2019-09-13,15779
2019-09-14,15774
2019-09-15,15776
2019-09-16,15966
2019-09-17,16046
2019-09-18,16080
2019-09-19,16145
2019-09-21,16340
2019-09-22,16379
2019-09-23,16406
2019-09-24,16446
2019-09-25,16531
2019-09-26,16549
2019-09-27,16677
2019-09-28,17121
2019-09-29,17654
2019-09-30,18100
2019-10-01,18183
2019-10-02,18262
2019-10-03,18373
2019-10-04,18471
2019-10-05,18580
2019-10-06,18656
2019-10-07,18710
2019-10-08,18777
2019-10-09,18857
2019-10-10,18922
2019-10-11,18962
2019-10-12,19025
2019-10-13,19098
2019-10-14,19136
2019-10-15,19168
2019-10-16,19230
2019-10-17,19249
2019-10-18,19291
2019-10-19,19332
2019-10-20,19359
2019-10-21,19397
2019-10-22,19419
2019-10-23,19450
2019-10-24,19481
2019-10-25,19506
2019-10-26,19525
2019-10-27,19554
2019-10-28,19671
2019-10-29,19732
2019-10-30,19780
2019-10-31,19785
2019-11-01,19801
2019-11-02,19817
2019-11-03,19823
2019-11-04,19840
2019-11-05,19847
2019-11-06,19860
2019-11-07,19888
2019-11-08,19899
2019-11-09,19919
2019-11-10,19940
2019-11-11,19952
2019-11-12,20036
2019-11-13,20158
2019-11-14,20223
2019-11-15,20239
2019-11-16,20261
2019-11-17,20310
2019-11-18,20387
2019-11-19,20401
2019-11-20,20423
2019-11-21,20436
2019-11-22,20459
2019-11-23,20486
2019-11-24,20505
2019-11-25,20554
2019-11-26,20568
2019-11-27,20583
2019-11-28,20616
2019-11-29,20665
2019-11-30,20701
2019-12-01,20729
2019-12-02,20739
2019-12-03,20750
2019-12-04,20757
2019-12-05,20754
2019-12-06,20761
2019-12-07,20770
2019-12-08,20773
2019-12-09,20781
2019-12-10,20793
2019-12-11,20812
2019-12-12,20816
2019-12-14,20839
2019-12-15,20860
2019-12-16,20861
2019-12-17,20878
2019-12-18,20885
2019-12-19,20896
2019-12-20,20928
2019-12-21,20938
2019-12-22,20998
2019-12-23,21023
2019-12-24,21035
2019-12-25,21039
2019-12-26,21044
2019-12-27,21048
2019-12-28,21078
2019-12-29,21208
2019-12-30,21375
2019-12-31,21427
2020-01-01,21458
2020-01-02,21490
2020-01-03,21505
2020-01-04,21526
2020-01-05,21532
2020-01-06,21537
2020-01-07,21557
2020-01-08,21562
2020-01-09,21566
2020-01-10,21572
2020-01-11,21578
2020-01-12,21584
2020-01-13,21605
2020-01-14,21626
2020-01-15,21644
2020-01-16,21653
2020-01-17,21660
2020-01-18,21669
2020-01-19,21670
2020-01-20,21680
2020-01-21,21690
2020-01-22,21695
2020-01-23,21970
2020-01-24,22029
2020-01-25,22038
2020-01-26,22051
2020-01-27,22095
2020-01-28,22108
2020-01-29,22123
2020-01-30,22132
2020-01-31,22166
2020-02-01,22186
2020-02-02,22237
2020-02-03,22318
2020-02-04,22486
2020-02-05,22594
2020-02-06,22673
2020-02-07,22721
2020-02-08,22807
2020-02-09,22857
2020-02-10,22899
2020-02-11,22932
2020-02-12,22992
2020-02-13,23095
2020-02-14,23177
2020-02-15,23191
2020-02-16,23591
2020-02-17,23644
2020-02-18,24499
2020-02-19,24679
2020-02-20,24859
2020-02-21,24986
2020-02-22,25065
2020-02-23,25121
2020-02-24,25172
2020-02-25,25201
2020-02-26,25237
2020-02-27,25278
2020-02-28,25336
2020-02-29,25387
2020-03-01,25425
2020-03-02,25477
2020-03-03,25572
2020-03-04,25638
2020-03-05,25686
2020-03-06,25766
2020-03-07,25816
2020-03-08,25959
2020-03-09,26211
2020-03-10,26432
2020-03-11,26580
2020-03-12,26666
2020-03-13,26755
2020-03-14,26807
2020-03-16,26958
2020-03-17,27016
2020-03-18,27104
2020-03-19,27157
2020-03-20,27193
2020-03-21,27236
2020-03-22,27302
2020-03-23,27358
2020-03-24,27416
2020-03-25,27536
2020-03-26,27598
2020-03-27,27676
2020-03-28,28095
2020-03-29,28172
2020-03-30,28212
2020-03-31,28253
2020-04-01,28382
2020-04-02,28449
2020-04-03,28523
2020-04-04,28553
2020-04-05,28598
2020-04-06,28655
2020-04-07,28681
2020-04-08,28705
2020-04-09,28750
2020-04-10,28766
2020-04-11,28797
2020-04-12,28859
2020-04-13,28898
2020-04-14,28943
2020-04-15,28974
2020-04-16,29012
2020-04-17,29074
2020-04-18,29104
2020-04-19,29135
2020-04-20,29167
2020-04-21,29205
2020-04-22,29228
2020-04-23,29246
2020-04-24,29281
2020-04-25,29306
2020-04-26,29306
2020-04-27,29337
2020-04-28,29387
2020-04-29,29402
2020-04-30,29427
2020-05-01,29450
2020-05-02,29513
2020-05-03,29570
2020-05-04,29607
2020-05-05,29635
2020-05-06,29680
2020-05-07,29710
2020-05-08,29735
2020-05-09,29780
2020-05-10,29825
2020-05-12,29844
