,370687588
2020-04-18,14813
2020-04-19,16455
2020-04-20,17056
2020-04-21,17893
2020-04-22,18868
2020-04-23,19617
2020-04-24,19920
2020-04-25,21396
2020-04-26,22168
2020-04-27,22458
2020-04-28,22824
2020-04-29,23126
2020-04-30,23488
2020-05-01,23628
2020-05-02,23843
2020-05-03,24030
2020-05-04,24188
2020-05-05,24362
2020-05-06,24459
2020-05-07,24577
2020-05-08,24670
2020-05-09,24881
2020-05-10,25035
2020-05-11,25095
2020-05-12,25337
2020-05-13,25484
2020-05-14,25594
2020-05-15,25766
2020-05-16,25906
2020-05-17,26062
2020-05-18,26124
2020-05-19,26213
2020-05-20,26269
2020-05-21,26288
2020-05-22,26358
2020-05-23,26574
2020-05-24,26719
2020-05-25,26865
2020-05-26,26990
2020-05-27,27067
2020-05-28,27111
2020-05-29,27188
2020-05-30,27372
2020-05-31,27569
2020-06-01,27659
2020-06-02,27681
2020-06-03,27749
2020-06-04,27908
2020-06-05,27949
2020-06-06,28117
2020-06-07,28183
2020-06-08,28240
2020-06-09,28292
2020-06-10,28332
2020-06-11,28342
2020-06-12,28384
2020-06-13,28793
2020-06-14,28948
2020-06-15,29019
2020-06-16,29040
2020-06-17,29086
2020-06-18,29101
2020-06-19,29153
2020-06-20,29216
2020-06-21,29235
2020-06-22,29447
2020-06-23,29471
2020-06-24,29513
2020-06-25,29560
2020-06-26,29685
2020-06-27,29839
2020-06-28,29907
2020-06-29,29982
2020-06-30,30038
2020-07-01,30084
2020-07-02,30105
2020-07-03,30308
2020-07-04,30439
2020-07-05,30498
2020-07-06,30580
2020-07-07,30624
2020-07-08,30733
2020-07-09,30837
2020-07-10,30960
2020-07-11,31076
2020-07-12,31143
2020-07-13,31211
2020-07-14,31318
2020-07-15,31941
2020-07-16,32623
2020-07-17,32972
2020-07-18,33183
2020-07-19,33215
2020-07-20,33262
2020-07-21,33315
2020-07-22,33400
2020-07-23,33434
2020-07-24,33473
2020-07-25,33539
2020-07-26,33575
2020-07-27,33609
2020-07-28,33659
2020-07-29,33833
2020-07-30,34164
2020-07-31,34638
2020-08-01,35251
2020-08-02,35370
2020-08-03,35410
2020-08-05,35717
2020-08-06,35793
2020-08-07,35867
2020-08-08,35941
2020-08-09,35978
2020-08-16,37636
2020-08-17,37881
2020-08-18,38149
2020-08-19,38222
2020-08-20,38338
2020-08-21,38449
2020-08-22,38523
2020-08-23,38559
2020-08-24,38633
2020-08-25,38670
2020-08-26,38782
2020-08-27,38820
2020-08-28,38932
2020-08-29,39042
2020-08-30,39080
2020-08-31,39119
2020-09-01,39156
2020-09-02,39193
2020-09-04,39221
2020-09-05,39260
2020-09-06,39298
2020-09-08,39335
2020-09-10,39372
2020-09-11,39421
2020-09-12,39515
2020-09-13,39569
2020-09-14,39605
2020-09-16,39623
2020-09-18,39656
2020-09-20,39690
2020-09-21,39805
2020-09-22,39846
2020-09-23,39918
2020-09-25,39919
2020-09-26,39916
2020-09-27,39885
2020-09-28,39849
2020-09-30,39854
2020-10-01,39836
2020-10-02,39823
2020-10-03,39675
2020-10-04,39638
2020-10-05,39602
2020-10-07,39585
2020-10-08,39578
2020-10-09,39573
2020-10-11,39553
2020-10-12,39565
2020-10-13,39598
2020-10-15,39678
2020-10-17,39701
2020-10-18,39693
2020-10-19,39654
2020-10-20,39618
2020-10-21,39581
2020-10-22,39566
2020-10-24,39486
2020-10-25,39506
2020-10-27,39514
2020-10-28,39514
2020-10-29,39519
2020-10-31,39539
2020-11-01,39559
2020-11-02,39578
2020-11-04,39583
2020-11-05,39590
2020-11-06,39622
2020-11-07,39659
2020-11-08,39731
2020-11-10,39733
2020-11-11,39728
2020-11-12,39718
2020-11-14,39719
2020-11-15,39729
2020-11-16,39765
2020-11-17,39761
2020-11-19,39771
2020-11-20,39788
2020-11-21,39791
2020-11-23,39806
2020-11-24,39828
2020-11-25,39866
2020-11-26,39904
2020-11-27,45805
2020-11-28,48686
2020-11-29,50679
2020-11-30,51331
2020-12-01,54677
2020-12-02,56094
2020-12-03,56707
2020-12-04,57054
2020-12-05,57974
2020-12-06,58627
2020-12-07,58841
2020-12-08,59026
2020-12-09,59181
2020-12-10,59329
2020-12-11,59562
2020-12-12,60236
2020-12-13,60631
2020-12-14,60870
2020-12-15,61140
2020-12-16,61601
2020-12-17,61867
2020-12-18,62101
2020-12-19,62249
2020-12-20,62898
2020-12-21,63657
2020-12-22,64025
2020-12-23,64248
2020-12-24,64479
2020-12-25,64636
2020-12-26,64836
2020-12-27,65185
2020-12-28,65406
2020-12-29,65558
2020-12-30,65631
2020-12-31,65786
2021-01-01,65973
2021-01-02,66157
2021-01-03,66267
2021-01-04,66376
2021-01-05,66453
2021-01-06,66598
2021-01-07,66634
2021-01-08,66670
2021-01-09,66742
2021-01-10,66815
2021-01-11,66799
2021-01-12,66837
2021-01-13,66873
2021-01-14,66906
2021-01-15,66943
2021-01-16,66970
2021-01-17,67042
2021-01-19,67071
2021-01-20,67081
2021-01-21,67117
2021-01-22,67124
2021-01-24,67181
2021-01-25,67218
2021-01-26,67290
2021-01-27,67326
2021-01-28,67480
2021-01-29,67673
2021-01-30,68476
2021-01-31,69223
2021-02-01,69771
