,follower
2019-04-14,25325
2019-04-15,25397
2019-04-16,25595
2019-04-17,25834
2019-04-18,26071
2019-04-19,26335
2019-04-20,26830
2019-04-21,26959
2019-04-22,27034
2019-04-23,27123
2019-04-24,27236
2019-04-25,27359
2019-04-26,27534
2019-04-27,27710
2019-04-28,27814
2019-04-29,27895
2019-04-30,28256
2019-05-01,28407
2019-05-02,28519
2019-05-03,28594
2019-05-04,28672
2019-05-05,28728
2019-05-06,28781
2019-05-07,28821
2019-05-08,29154
2019-05-09,29302
2019-05-10,29415
2019-05-11,29492
2019-05-12,29566
2019-05-13,29594
2019-05-14,29628
2019-05-15,29684
2019-05-16,29704
2019-05-17,29878
2019-05-18,29920
2019-05-19,29958
2019-05-20,30031
2019-05-21,30064
2019-05-22,30104
2019-05-23,30218
2019-05-24,30298
2019-05-25,30360
2019-05-26,30425
2019-05-27,30449
2019-05-28,30484
2019-05-29,30537
2019-05-30,30628
2019-05-31,30843
2019-06-01,30967
2019-06-02,31015
2019-06-03,31050
2019-06-04,31121
2019-06-05,31152
2019-06-06,31193
2019-06-07,31235
2019-06-08,31278
2019-06-09,31376
2019-06-10,31589
2019-06-11,31665
2019-06-12,33697
2019-06-13,33894
2019-06-14,34100
2019-06-15,34233
2019-06-16,34424
2019-06-17,34759
2019-06-18,34868
2019-06-19,34947
2019-06-20,35025
2019-06-21,35102
2019-06-22,35415
2019-06-23,35446
2019-06-24,35492
2019-06-25,35597
2019-06-26,35718
2019-06-27,35757
2019-06-28,35795
2019-06-29,35855
2019-06-30,36055
2019-07-01,36324
2019-07-02,36388
2019-07-03,36413
2019-07-04,36452
2019-07-05,36486
2019-07-06,36592
2019-07-07,36656
2019-07-08,36954
2019-07-09,37053
2019-07-10,37151
2019-07-11,37202
2019-07-12,37411
2019-07-13,37456
2019-07-14,37574
2019-07-15,37723
2019-07-16,37778
2019-07-17,37829
2019-07-18,37885
2019-07-19,37900
2019-07-20,38022
2019-07-21,38216
2019-07-22,38416
2019-07-23,38612
2019-07-24,38771
2019-07-25,38889
2019-07-26,38991
2019-07-27,39558
2019-07-28,40333
2019-07-29,40522
2019-07-30,40551
2019-07-31,40650
2019-08-01,40724
2019-08-02,40825
2019-08-03,40877
2019-08-04,40998
2019-08-05,41042
2019-08-06,41094
2019-08-07,41127
2019-08-08,41697
2019-08-09,41930
2019-08-10,42110
2019-08-11,42403
2019-08-12,42666
2019-08-13,43148
2019-08-14,43420
2019-08-15,43597
2019-08-16,43756
2019-08-17,43963
2019-08-18,44079
2019-08-19,44164
2019-08-20,44456
2019-08-21,44664
2019-08-22,44868
2019-08-23,45293
2019-08-24,45807
2019-08-25,46101
2019-08-26,46361
2019-08-27,46732
2019-08-28,46889
2019-08-29,47073
2019-08-30,47150
2019-08-31,47401
2019-09-01,47578
2019-09-02,47692
2019-09-03,47827
2019-09-04,48010
2019-09-05,48315
2019-09-06,48422
2019-09-07,48636
2019-09-08,48771
2019-09-09,48876
2019-09-10,48976
2019-09-11,49153
2019-09-12,49391
2019-09-13,49515
2019-09-14,49630
2019-09-15,49782
2019-09-16,49989
2019-09-17,50067
2019-09-18,50125
2019-09-19,50254
2019-09-21,50514
2019-09-22,50774
2019-09-23,50828
2019-09-24,51055
2019-09-25,51299
2019-09-26,51511
2019-09-27,51754
2019-09-28,52026
2019-09-29,52286
2019-09-30,52439
2019-10-01,52829
2019-10-02,53100
2019-10-03,53251
2019-10-04,53448
2019-10-05,53823
2019-10-06,54262
2019-10-07,54450
2019-10-08,54669
2019-10-09,54979
2019-10-10,55180
2019-10-11,55330
2019-10-13,55617
2019-10-14,55758
2019-10-15,55920
2019-10-16,56040
2019-10-17,56130
2019-10-18,56232
2019-10-19,56355
2019-10-20,56444
2019-10-21,56514
2019-10-22,56645
