,follower
2021-08-14,11739
2021-08-15,11778
2021-08-16,11847
2021-08-17,11884
2021-08-18,11911
2021-08-19,11947
2021-08-20,12023
2021-08-21,12063
2021-08-22,12091
2021-08-23,12105
2021-08-24,12148
2021-08-25,12188
2021-08-26,12232
2021-08-27,12304
2021-08-28,12361
2021-08-29,12417
2021-08-30,12459
2021-08-31,12565
2021-09-01,12591
2021-09-02,12631
2021-09-03,12657
2021-09-04,12697
2021-09-05,12724
2021-09-06,12775
2021-09-07,12788
2021-09-08,12818
2021-09-09,12831
2021-09-10,12858
2021-09-11,12873
2021-09-12,12916
2021-09-13,12929
2021-09-14,12955
2021-09-15,12982
2021-09-16,12996
2021-09-17,13009
2021-09-18,13242
2021-09-19,13318
2021-09-20,13375
2021-09-21,13419
2021-09-22,13894
2021-09-23,14151
2021-09-24,14322
2021-09-25,14453
2021-09-26,14501
2021-09-27,14551
2021-09-28,14596
2021-09-29,14627
2021-09-30,14672
2021-10-01,14771
2021-10-02,14872
2021-10-03,14935
2021-10-04,15012
2021-10-05,15143
2021-10-06,15234
2021-10-07,15333
2021-10-08,15429
2021-10-09,15607
2021-10-10,15697
2021-10-11,15770
2021-10-12,15821
2021-10-13,15853
2021-10-14,15885
2021-10-15,15936
2021-10-16,15968
2021-10-17,16056
2021-10-18,16095
2021-10-19,16150
2021-10-20,16273
2021-10-21,16389
2021-10-22,16535
2021-10-23,16783
2021-10-24,16892
2021-10-25,16965
2021-10-26,17018
2021-10-27,17265
2021-10-28,17728
2021-10-29,18051
2021-11-02,23287
2021-11-03,23471
2021-11-04,23620
2021-11-05,23844
2021-11-06,24019
2021-11-07,24231
2021-11-08,24284
2021-11-09,24338
2021-11-10,24393
2021-11-11,24449
2021-11-12,24527
2021-11-13,24628
2021-11-14,24794
2021-11-15,24915
2021-11-16,25059
2021-11-17,25166
2021-11-18,25222
2021-11-19,25313
2021-11-20,25459
2021-11-21,25545
2021-11-22,25572
2021-12-05,26910
2021-12-06,27099
2021-12-07,27308
2021-12-08,27459
2021-12-09,28051
2021-12-10,28288
2021-12-11,28473
2021-12-12,28672
2021-12-13,28768
2021-12-14,28857
2021-12-15,29004
2021-12-16,29037
2021-12-17,29486
2021-12-18,29675
2021-12-19,29874
2021-12-20,30002
2021-12-21,30097
2021-12-22,30162
2021-12-23,30224
2021-12-24,30318
2021-12-25,30415
2021-12-26,30606
2021-12-27,30700
2021-12-28,30763
2021-12-29,30794
2021-12-30,31180
2021-12-31,31762
2022-01-01,31794
2022-01-02,31826
2022-01-03,31892
2022-01-04,31961
2022-01-06,31984
2022-01-07,32016
2022-01-08,32049
2022-01-09,32115
2022-01-10,32148
2022-01-11,32186
2022-01-12,32219
2022-01-13,32253
2022-01-14,32287
2022-01-15,32584
2022-01-16,34534
2022-01-17,34961
2022-01-18,34923
2022-01-19,34908
2022-01-21,34929
2022-01-22,34927
2022-01-23,34952
2022-01-25,35006
2022-01-27,35029
2022-01-28,35096
2022-01-29,35102
2022-01-30,35419
2022-01-31,35648
2022-02-04,35756
2022-02-05,35831
2022-02-06,35914
2022-02-07,35986
2022-02-08,36059
2022-02-09,36133
2022-02-11,36321
2022-02-12,36395
2022-02-13,36468
2022-02-14,36505
2022-02-15,36542
2022-02-16,36614
2022-02-17,36665
2022-02-18,36814
2022-02-19,36851
2022-02-20,38637
2022-02-21,38565
2022-02-23,38571
2022-02-24,38563
2022-02-25,38527
2022-02-27,38546
2022-02-28,38536
2022-03-01,38511
2022-03-03,38498
2022-03-04,38645
2022-03-05,38660
2022-03-06,38714
2022-03-08,38737
2022-03-09,38729
2022-03-10,38734
2022-03-12,38759
2022-03-13,38787
2022-03-14,38772
2022-03-16,38766
2022-03-17,38762
2022-03-18,38785
2022-03-19,38961
2022-03-21,38949
2022-03-22,38918
2022-03-23,38996
2022-03-24,39068
2022-03-25,39137
2022-03-26,39114
2022-03-27,39331
2022-03-28,39295
2022-03-29,39310
2022-03-31,39328
2022-04-01,39334
2022-04-02,39350
2022-04-03,39386
2022-04-04,39406
2022-04-06,39408
2022-04-07,39385
2022-04-09,39389
2022-04-10,42275
2022-04-11,42195
2022-04-12,42123
2022-04-14,42104
2022-04-15,42068
2022-04-16,42059
2022-04-17,42095
2022-04-18,42059
2022-04-19,42022
2022-04-20,42004
2022-04-22,41987
2022-04-23,41986
2022-04-24,41950
2022-04-26,41947
2022-04-27,41931
2022-04-28,41924
2022-04-30,41905
2022-05-01,41910
2022-05-02,41985
2022-05-03,41984
2022-05-04,42020
2022-05-06,42039
2022-05-07,42058
2022-05-08,42044
2022-05-10,42039
2022-05-11,42034
2022-05-13,42026
2022-05-14,41928
2022-05-15,41951
2022-05-16,42016
2022-05-17,42014
2022-05-19,42041
2022-05-20,42046
2022-05-21,42050
2022-05-22,42086
2022-05-23,42093
2022-05-25,42126
2022-05-26,42277
2022-05-28,42335
2022-05-29,42448
2022-05-30,42520
2022-05-31,42593
2022-06-01,42629
2022-06-02,42658
2022-06-03,42694
2022-06-04,42730
2022-06-05,42802
2022-06-06,42874
2022-06-07,42911
2022-06-08,42983
2022-06-10,43003
2022-06-11,43040
2022-06-12,43112
2022-06-13,43149
2022-06-14,43222
2022-06-15,43258
2022-06-17,43603
2022-06-18,43567
2022-06-19,43576
2022-06-20,43612
2022-06-21,43648
2022-06-22,43690
2022-06-23,43726
2022-06-24,43799
2022-06-26,43808
2022-06-27,43809
2022-06-28,43805
2022-06-30,43813
2022-07-01,43816
2022-07-02,43804
2022-07-04,43794
2022-07-05,43800
2022-07-06,43801
2022-07-07,43686
2022-07-08,43388
2022-07-09,43012
2022-07-10,43015
2022-07-12,43030
2022-07-13,43031
2022-07-14,43066
2022-07-15,43103
2022-07-16,43139
2022-07-18,43190
