,558070434
2020-07-16,448
2020-07-17,524
2020-07-18,569
2020-07-19,615
2020-07-20,646
2020-07-21,655
2020-07-22,675
2020-07-23,694
2020-07-24,696
2020-07-25,1363
2020-07-26,1780
2020-07-27,1810
2020-07-28,1831
2020-07-29,1834
2020-07-30,1834
2020-07-31,1837
2020-08-01,1841
2020-08-02,1842
2020-08-05,1846
2020-08-06,1862
2020-08-07,1868
2020-08-08,1874
2020-08-09,1872
2020-08-16,2253
2020-08-17,2263
2020-08-18,2262
2020-08-19,2265
2020-08-20,2268
2020-08-21,2265
2020-08-22,2268
2020-08-24,2268
2020-08-25,2271
2020-08-26,2277
2020-08-27,2280
2020-08-28,2282
2020-08-29,2316
2020-08-31,2318
2020-09-01,2319
2020-09-02,2329
2020-09-04,2334
2020-09-05,2337
2020-09-06,2342
2020-09-08,2342
2020-09-09,2356
2020-09-10,2359
2020-09-11,2362
2020-09-12,3435
2020-09-13,5348
2020-09-14,5381
2020-09-15,5407
2020-09-17,5407
2020-09-18,5426
2020-09-19,5450
2020-09-20,5467
2020-09-21,5499
2020-09-22,5528
2020-09-23,5541
2020-09-24,5548
2020-09-25,5558
2020-09-26,5597
2020-09-27,5612
2020-09-28,5636
2020-09-29,5648
2020-09-30,5654
2020-10-01,5680
2020-10-02,5680
2020-10-03,5717
2020-10-04,5723
2020-10-05,5730
2020-10-06,5730
2020-10-07,5756
2020-10-08,5805
2020-10-09,5817
2020-10-11,5838
2020-10-12,5844
2020-10-13,5850
2020-10-14,5868
2020-10-15,5875
2020-10-16,6004
2020-10-17,6406
2020-10-18,6633
2020-10-19,6657
2020-10-20,6672
2020-10-21,6679
2020-10-22,6683
2020-10-23,6690
2020-10-24,6934
2020-10-25,7520
2020-10-26,7528
2020-10-27,7528
2020-10-28,7536
2020-10-30,7538
2020-10-31,7556
2020-11-01,7590
2020-11-02,7606
2020-11-03,7614
2020-11-04,7630
2020-11-05,7646
2020-11-06,7655
2020-11-07,7967
2020-11-08,8238
