,690608695
2021-08-14,12031
2021-08-15,12134
2021-08-16,12205
2021-08-17,12297
2021-08-18,12367
2021-08-19,12452
2021-08-20,12548
2021-08-21,12757
2021-08-22,12862
2021-08-23,12996
2021-08-24,13073
2021-08-25,13199
2021-08-26,13288
2021-08-27,13378
2021-08-28,13468
2021-08-29,13581
2021-08-30,13668
2021-08-31,13714
2021-09-01,13742
2021-09-02,13756
2021-09-03,13799
2021-09-04,13888
2021-09-05,13991
2021-09-06,14020
2021-09-07,14067
2021-09-08,14097
2021-09-09,14130
2021-09-10,14148
2021-09-11,14194
2021-09-12,14240
2021-09-13,14272
2021-09-14,14287
2021-09-16,14302
2021-09-17,14317
2021-09-18,14332
2021-09-19,14363
2021-09-20,14393
2021-09-21,14408
2021-09-22,14422
2021-09-23,14437
2021-09-24,14452
2021-09-25,14467
2021-09-27,14471
2021-09-28,14580
2021-09-29,14751
2021-09-30,15060
2021-10-01,15562
2021-10-02,15823
2021-10-03,15875
2021-10-04,15908
2021-10-05,15946
2021-10-06,15978
2021-10-07,16028
2021-10-09,16064
2021-10-10,16082
2021-10-11,16097
2021-10-13,16102
2021-10-14,16119
2021-10-15,16136
2021-10-16,16153
2021-10-17,16171
2021-10-19,16179
2021-10-20,16180
2021-10-21,16195
2021-10-23,16231
2021-10-24,16248
2021-10-25,16262
2021-10-26,16266
2021-10-28,16277
2021-10-29,16290
2021-11-02,16325
2021-11-03,16333
2021-11-04,16341
2021-11-05,16358
2021-11-06,16393
2021-11-07,16411
2021-11-09,16410
2021-11-10,16418
2021-11-12,16448
2021-11-13,16502
2021-11-14,16556
2021-11-15,16574
2021-11-16,16585
2021-11-17,16602
2021-11-18,16620
2021-11-19,16642
2021-11-20,16701
2021-11-21,16718
2021-11-22,16735
2021-12-05,16919
2021-12-06,16936
2021-12-07,16952
2021-12-09,16966
2021-12-10,16998
2021-12-11,17116
2021-12-12,17172
2021-12-13,17209
2021-12-14,17227
2021-12-15,17263
2021-12-17,17294
2021-12-18,17331
2021-12-19,17367
2021-12-20,17403
2021-12-21,17422
2021-12-23,17440
2021-12-24,17456
2021-12-25,17469
2021-12-26,17488
2021-12-27,17506
2021-12-29,17523
2021-12-30,17537
2021-12-31,17553
2022-01-01,17571
2022-01-02,17582
2022-01-03,17601
2022-01-05,17602
2022-01-06,17605
2022-01-07,17621
2022-01-09,17631
2022-01-10,17623
2022-01-11,17634
2022-01-13,17653
2022-01-14,17668
2022-01-15,17898
2022-01-16,18058
2022-01-17,19649
2022-01-18,19601
2022-01-19,19581
2022-01-21,19610
2022-01-22,19952
2022-01-23,19911
2022-01-25,19893
2022-01-27,19879
2022-01-28,19873
2022-01-30,19836
2022-02-01,20028
2022-02-04,20074
2022-02-05,22185
2022-02-06,22113
2022-02-08,22114
2022-02-09,22683
2022-02-10,22828
2022-02-11,22780
2022-02-12,22986
2022-02-13,22916
2022-02-14,22844
2022-02-15,22821
2022-02-16,22798
2022-02-17,23163
2022-02-18,23413
2022-02-19,23339
2022-02-20,23314
2022-02-21,24005
2022-02-22,24217
2022-02-23,24142
2022-02-24,24493
2022-02-25,24654
2022-02-26,24735
2022-02-27,24902
2022-02-28,24822
2022-03-01,25254
2022-03-02,25537
2022-03-03,25671
2022-03-04,25697
2022-03-05,25809
2022-03-06,25731
2022-03-07,25800
2022-03-08,25721
2022-03-09,26145
2022-03-10,26235
2022-03-11,26337
2022-03-12,26511
2022-03-13,26769
2022-03-14,26811
2022-03-15,26893
2022-03-16,27052
2022-03-17,27199
2022-03-18,27331
2022-03-19,27586
2022-03-20,27940
2022-03-21,27884
2022-03-22,28189
2022-03-23,28374
2022-03-24,28540
2022-03-25,28599
2022-03-26,28816
2022-03-27,29111
2022-03-28,29049
2022-03-29,29367
2022-03-30,29477
2022-03-31,29669
2022-04-01,29941
2022-04-02,30276
2022-04-03,30414
2022-04-04,30556
2022-04-05,30759
2022-04-06,30791
2022-04-07,30806
2022-04-09,30846
2022-04-10,32124
2022-04-11,32025
2022-04-12,31991
2022-04-14,32015
2022-04-15,32032
2022-04-16,32038
2022-04-18,32019
2022-04-19,32212
2022-04-20,32179
2022-04-22,32147
2022-04-23,32144
2022-04-24,32134
2022-04-26,32154
2022-04-27,32140
2022-04-28,32143
2022-04-30,32256
2022-05-01,32780
2022-05-03,32803
2022-05-05,32830
2022-05-06,32852
2022-05-07,32885
2022-05-08,32918
2022-05-10,32942
2022-05-11,32961
2022-05-12,32985
2022-05-14,32895
2022-05-15,32928
2022-05-16,32947
2022-05-18,32965
2022-05-19,32970
2022-05-20,33003
2022-05-21,33037
2022-05-22,33071
2022-05-24,33095
2022-05-25,33127
2022-05-26,33161
2022-05-27,33195
2022-05-28,33263
2022-05-29,33341
2022-05-31,33404
2022-06-01,33646
2022-06-02,33752
2022-06-03,33891
2022-06-04,33993
2022-06-05,34098
2022-06-06,34133
2022-06-07,34204
2022-06-08,34311
2022-06-09,34347
2022-06-10,34419
2022-06-11,34489
2022-06-12,34525
2022-06-13,34560
2022-06-14,34596
2022-06-15,34631
2022-06-16,34666
2022-06-17,34931
2022-06-18,35039
2022-06-19,35147
2022-06-20,35219
2022-06-21,35292
2022-06-22,35364
2022-06-23,35436
2022-06-24,35509
2022-06-25,35658
2022-06-26,35803
2022-06-27,35840
2022-06-28,35876
2022-06-29,35912
2022-06-30,35948
2022-07-01,36020
2022-07-02,36093
2022-07-03,36166
2022-07-04,36245
2022-07-05,36317
2022-07-06,36389
2022-07-07,36047
2022-07-08,35124
2022-07-09,34148
2022-07-10,34264
2022-07-11,34335
2022-07-12,34405
2022-07-13,34441
2022-07-14,34512
2022-07-15,34617
2022-07-16,34722
2022-07-17,34792
2022-07-18,34863
2022-07-19,34972
2022-07-20,35080
2022-07-21,35152
2022-07-22,35224
2022-07-23,35334
2022-07-24,35484
2022-07-25,35556
2022-07-26,35629
2022-07-27,35738
2022-07-28,35847
2022-07-29,35956
2022-07-30,36029
2022-07-31,36065
2022-08-01,36137
2022-08-02,36209
2022-08-03,36319
2022-08-04,36391
2022-08-05,36536
2022-08-06,36608
2022-08-07,36682
2022-08-08,36790
2022-08-09,36862
2022-08-10,36936
2022-08-11,36972
2022-08-12,37045
2022-08-13,37153
2022-08-14,37227
2022-08-15,37302
2022-08-16,37338
2022-08-17,37446
2022-08-18,37523
2022-08-19,37595
2022-08-20,37631
2022-08-21,37739
2022-08-22,37849
2022-08-23,37923
2022-08-24,38000
2022-08-25,38073
2022-08-26,38145
