,follower
2020-12-05,407
2020-12-06,4250
2020-12-07,4923
2020-12-08,5131
2020-12-09,5247
2020-12-10,5301
2020-12-11,5441
2020-12-12,5569
2020-12-13,5575
2020-12-14,5810
2020-12-15,5891
2020-12-16,5927
2020-12-17,5958
2020-12-18,6471
2020-12-19,6732
2020-12-20,6939
2020-12-21,7147
2020-12-22,7282
2020-12-23,7430
2020-12-24,7520
2020-12-25,7628
2020-12-26,7859
2020-12-27,7989
2020-12-28,8121
2020-12-29,8240
2020-12-30,8427
2020-12-31,8611
2021-01-01,8774
2021-01-02,8969
2021-01-03,9172
2021-01-04,9287
2021-01-05,9413
2021-01-06,9539
2021-01-07,9662
2021-01-08,9800
2021-01-09,9927
2021-01-10,9937
2021-01-11,10202
2021-01-12,10305
2021-01-13,10362
2021-01-14,10411
2021-01-15,10510
2021-01-16,10521
2021-01-17,10704
2021-01-18,10764
2021-01-19,10810
2021-01-22,10977
2021-01-23,11114
2021-01-24,11126
2021-01-25,11290
2021-01-26,11354
2021-01-27,11392
2021-01-29,11945
2021-01-30,12024
2021-01-31,12177
2021-02-01,12240
2021-02-03,12442
2021-02-04,12496
2021-02-05,12522
2021-02-07,12601
2021-02-10,12737
2021-02-14,13010
2021-02-15,13142
2021-02-16,13249
2021-02-17,13324
2021-02-18,13532
2021-02-19,13749
2021-02-21,13913
2021-02-22,14044
2021-02-23,14223
2021-02-24,14303
2021-02-25,14398
2021-02-26,14478
2021-02-27,14665
2021-02-28,14763
2021-03-01,14824
2021-03-02,14872
2021-03-05,15045
2021-03-14,15462
2021-03-15,15560
2021-03-16,15640
2021-03-17,15800
2021-03-18,15880
2021-03-19,16077
2021-03-20,16453
2021-03-21,16660
2021-03-22,16770
2021-03-24,16970
2021-03-25,16988
2021-03-26,17154
2021-03-27,17340
2021-03-28,17462
2021-03-29,17518
2021-03-30,17578
2021-03-31,17881
2021-04-01,18057
2021-04-02,18182
2021-04-03,18284
2021-04-04,18410
2021-04-05,18508
2021-04-07,18626
2021-04-10,18860
2021-04-11,18940
2021-04-12,18979
2021-04-13,19000
2021-04-16,19122
2021-04-17,19229
2021-04-18,19290
2021-04-19,19356
2021-04-20,19397
2021-04-21,19459
2021-04-23,19625
2021-04-24,19690
2021-04-26,19823
2021-04-27,19865
2021-05-01,20035
2021-05-11,20690
2021-05-12,20734
2021-05-14,20819
2021-05-15,20884
2021-05-16,20947
2021-05-19,21034
2021-05-22,21145
2021-05-25,21261
2021-05-28,21375
2021-05-30,21556
2021-06-06,21855
2021-06-09,21968
2021-06-10,21999
2021-06-11,22072
2021-06-12,22195
2021-06-13,22291
2021-06-18,22580
2021-06-21,22944
2021-06-26,23155
2021-07-02,23373
2021-07-04,23445
2021-07-17,24093
2021-07-18,24246
2021-07-19,24355
2021-07-20,24484
2021-07-23,25058
2021-07-24,25477
2021-07-25,25647
2021-07-29,26079
2021-07-30,26167
2021-08-04,26683
2021-08-06,26877
2021-08-08,27313
2021-08-09,27457
2021-08-11,27604
2021-08-13,27748
2021-08-14,27925
2021-08-16,28193
2021-08-20,28371
2021-08-21,28429
2021-08-23,28548
2021-08-29,28760
2021-08-30,28789
2021-09-05,28992
2021-09-10,29078
2021-09-14,29176
2021-09-19,29257
2021-09-23,29316
2021-09-27,29366
2021-10-16,29923
2021-10-24,30152
2021-11-05,30687
2021-11-07,30749
2021-11-11,30811
2021-11-18,31015
2021-11-20,31044
2021-12-05,31247
2021-12-10,31393
2021-12-12,31452
2021-12-24,31625
2021-12-26,31796
2021-12-27,31830
2021-12-31,33163
2022-01-01,33415
2022-01-15,33355
2022-01-19,33413
2022-01-24,35758
2022-01-25,36074
2022-01-27,36123
2022-02-01,36092
2022-02-06,36113
2022-02-18,36647
2022-02-25,36809
2022-03-01,36845
2022-03-06,36948
2022-03-12,37328
2022-03-17,37617
2022-03-19,41269
2022-03-22,41086
2022-03-31,40902
2022-04-04,40847
2022-04-08,40809
2022-04-10,42563
2022-04-12,42417
2022-04-16,42363
2022-04-21,42296
2022-04-25,42267
2022-05-01,42256
2022-05-04,42393
2022-05-10,42533
2022-05-14,42558
2022-05-17,42660
2022-05-24,42816
2022-05-30,43013
2022-06-08,43543
2022-06-17,43937
2022-06-18,43977
2022-06-20,44088
2022-06-21,44556
2022-06-24,44813
2022-07-04,46494
2022-07-05,46585
2022-07-07,46504
2022-07-08,46423
2022-07-10,45825
2022-07-12,45908
2022-07-17,46044
2022-07-26,46577
2022-07-27,47216
2022-07-28,47569
2022-07-29,47790
2022-07-30,47936
2022-07-31,48082
2022-08-02,48336
2022-08-05,48590
2022-08-09,48881
2022-08-10,48954
2022-08-14,49245
2022-08-15,49354
2022-08-17,49614
2022-08-18,49991
2022-08-19,50895
2022-08-20,51286
2022-08-21,52988
2022-08-22,53186
2022-08-23,53400
2022-08-24,53513
2022-08-27,53989
2022-08-28,54106
2022-08-29,54179
2022-09-04,54648
2022-09-10,55229
