,follower
2020-09-19,8489
2020-09-20,8521
2020-09-24,8681
2020-09-25,8783
2020-09-26,8876
2020-09-27,8933
2020-09-28,8978
2020-09-29,9034
2020-09-30,9101
2020-10-01,9199
2020-10-02,9260
2020-10-03,9345
2020-10-04,9483
2020-10-05,9493
2020-10-08,9670
2020-10-11,9741
2020-10-14,9779
2020-10-15,9800
2020-10-17,9908
2020-10-19,9965
2020-10-20,10024
2020-10-21,10122
2020-10-23,10190
2020-10-24,10277
2020-10-25,10553
2020-10-26,10600
2020-10-27,10821
2020-10-29,10869
2020-10-30,10891
2020-10-31,10963
2020-11-01,11032
2020-11-02,11091
2020-11-06,11306
2020-11-09,11431
2020-11-14,11552
2020-11-15,11616
2020-11-17,11703
2020-11-18,11727
2020-11-19,11765
2020-11-20,11922
2020-11-21,15348
2020-11-22,18194
2020-11-23,18317
2020-11-24,18435
2020-11-25,18581
2020-11-26,18684
2020-11-27,18917
2020-11-28,19093
2020-11-29,19114
2020-11-30,19308
2020-12-01,19393
2020-12-02,19499
2020-12-03,19602
2020-12-04,19685
2020-12-05,19795
2020-12-06,19898
2020-12-07,20009
2020-12-08,20075
2020-12-09,20140
2020-12-11,20504
2020-12-12,20735
2020-12-13,20861
2020-12-14,21110
2020-12-15,21664
2020-12-16,22301
2020-12-17,22389
2020-12-19,23599
2020-12-21,23722
2020-12-22,23800
2020-12-23,23900
2020-12-24,23972
2020-12-25,24103
2020-12-30,24383
2021-01-01,24511
2021-01-02,24590
2021-01-03,24640
2021-01-06,24770
2021-01-12,24911
2021-01-14,24975
2021-01-17,25153
2021-01-19,25314
2021-01-20,25396
2021-01-21,25478
2021-01-22,25651
2021-01-23,25924
2021-01-24,26221
2021-01-27,26447
2021-01-28,26765
2021-01-29,27222
2021-01-30,27251
2021-02-01,27554
2021-02-02,27705
2021-02-03,27794
2021-02-13,28325
2021-02-16,28975
2021-02-17,29533
2021-02-18,29574
2021-02-19,29707
2021-03-15,30798
2021-03-20,31244
2021-03-23,31453
2021-03-25,31551
2021-03-27,31650
2021-04-02,32182
2021-04-03,32215
2021-04-04,32353
2021-04-07,32521
2021-04-10,33878
2021-04-11,33885
2021-04-20,34939
2021-04-21,36440
2021-04-22,36581
2021-04-28,36871
2021-05-03,37479
2021-05-11,37805
2021-05-16,37889
2021-05-20,37956
2021-05-22,39340
2021-05-23,39567
2021-05-28,40653
2021-05-30,41018
2021-05-31,41060
2021-06-01,41246
2021-06-07,41539
2021-06-10,41723
2021-06-13,41868
2021-07-07,42578
2021-07-08,42728
2021-07-10,43120
2021-07-17,43940
2021-07-30,44589
2021-08-03,44645
2021-08-10,44878
2021-08-18,45368
2021-08-20,45405
2021-08-22,45645
2021-08-23,46369
2021-08-25,46857
2021-08-26,46930
2021-08-28,47375
2021-09-01,47924
2021-09-04,48149
2021-09-11,48510
2021-09-17,48686
2021-09-22,48975
2021-09-25,49366
2021-09-26,49402
2021-10-01,49595
2021-10-03,49912
2021-10-04,50295
2021-10-05,50667
2021-10-06,50910
2021-10-24,52224
2021-10-25,52421
2021-10-28,52878
2021-11-04,53947
2021-11-06,54376
2021-11-09,54844
2021-11-12,55205
2021-11-13,55443
2021-11-15,55721
2021-11-16,55797
2021-11-19,55984
2021-11-21,56295
2021-12-09,59555
2021-12-10,59629
2021-12-11,59706
2021-12-13,59858
2021-12-14,59932
2021-12-17,60191
2021-12-25,61115
2021-12-26,61665
2021-12-27,61704
2021-12-28,62039
2021-12-29,62241
2021-12-30,62516
2022-01-11,63521
2022-01-12,63563
2022-01-13,64031
2022-01-14,64068
2022-01-15,64142
2022-01-19,64232
2022-01-23,64435
2022-01-29,64509
2022-01-30,64471
2022-02-01,64801
2022-02-04,64984
2022-02-09,65209
2022-02-11,65562
2022-02-12,65893
2022-02-13,66159
2022-02-14,66759
2022-02-15,67401
2022-02-16,67661
2022-02-18,68689
2022-02-19,68999
2022-02-21,69253
2022-02-26,69879
2022-02-28,70099
2022-03-02,70355
2022-03-13,71230
2022-03-15,71525
2022-03-16,71898
2022-03-22,72533
2022-03-23,72573
2022-03-24,72835
2022-03-25,72909
2022-04-01,73410
2022-04-02,73637
2022-04-06,73969
2022-04-07,74041
2022-04-08,74115
2022-04-11,77003
2022-04-14,77154
2022-04-18,77107
2022-04-23,77112
2022-04-27,77113
2022-05-02,77178
2022-05-04,77407
2022-05-10,78130
2022-05-16,78380
2022-05-18,78448
2022-05-19,78557
2022-05-20,78629
2022-05-21,78708
2022-05-24,78957
2022-05-26,79238
2022-05-28,79572
2022-05-29,80633
2022-05-30,81008
2022-05-31,81046
2022-06-02,81650
2022-06-03,81941
2022-06-04,82194
