,follower
2020-04-18,11570
2020-04-19,11983
2020-04-20,12192
2020-04-21,12389
2020-04-22,12683
2020-04-23,12842
2020-04-24,13072
2020-04-25,14203
2020-04-26,14747
2020-04-27,15256
2020-04-28,15957
2020-04-29,16250
2020-04-30,16489
2020-05-01,16658
2020-05-02,16871
2020-05-03,17052
2020-05-04,17301
2020-05-05,17439
2020-05-06,17552
2020-05-07,17714
2020-05-08,17802
2020-05-09,17874
2020-05-10,17934
2020-05-11,17955
2020-05-12,18069
2020-05-13,18180
2020-05-14,18241
2020-05-15,18365
2020-05-16,18498
2020-05-17,18560
2020-05-18,18685
2020-05-19,18790
2020-05-20,18851
2020-05-21,18911
2020-05-22,18949
2020-05-23,18999
2020-05-24,19078
2020-05-25,19141
2020-05-26,19220
2020-05-27,19316
2020-05-28,19378
2020-05-29,19469
2020-05-30,19623
2020-05-31,19662
2020-06-01,19696
2020-06-02,19767
2020-06-03,19852
2020-06-04,19906
2020-06-05,19951
2020-06-06,20013
2020-06-07,20082
2020-06-08,20190
2020-06-09,20293
2020-06-10,20357
2020-06-11,20403
2020-06-12,20449
2020-06-13,20605
2020-06-14,20662
2020-06-15,20692
2020-06-16,20700
2020-06-17,20738
2020-06-18,20784
2020-06-19,20833
2020-06-20,20915
2020-06-21,20939
2020-06-22,21010
2020-06-23,21051
2020-06-24,21068
2020-06-25,21148
2020-06-26,21183
2020-06-27,21252
2020-06-28,21310
2020-06-29,21354
2020-06-30,21390
2020-07-01,21442
2020-07-02,21517
2020-07-03,21575
2020-07-04,21645
2020-07-05,21706
2020-07-06,21746
2020-07-07,21793
2020-07-08,21832
2020-07-09,21877
2020-07-10,21971
2020-07-11,22061
2020-07-12,22139
2020-07-13,22215
2020-07-14,22276
2020-07-15,22351
2020-07-16,22414
2020-07-17,22499
2020-07-18,22593
2020-07-19,22662
2020-07-20,22767
2020-07-21,22977
2020-07-22,23042
2020-07-23,23181
2020-07-24,23330
2020-07-25,23411
2020-07-26,23474
2020-07-27,23558
2020-07-28,23622
2020-07-29,23750
2020-07-30,23921
2020-07-31,24081
2020-08-01,24307
2020-08-02,24426
2020-08-03,24452
2020-08-05,24672
2020-08-06,24749
2020-08-07,24825
2020-08-08,24877
2020-08-09,24902
2020-08-10,25325
2020-08-16,26335
2020-08-17,26547
2020-08-18,26723
2020-08-19,26779
2020-08-20,26866
2020-08-21,26926
2020-08-22,27007
2020-08-23,27064
2020-08-24,27154
2020-08-25,27211
2020-08-26,27300
2020-08-27,27328
2020-08-28,27445
2020-08-29,27501
2020-08-30,27590
2020-08-31,27647
2020-09-01,27675
2020-09-03,27703
2020-09-04,27764
2020-09-05,27990
2020-09-06,28043
2020-09-07,28080
2020-09-08,28109
2020-09-10,28153
2020-09-11,28182
2020-09-12,28213
2020-09-13,28242
2020-09-15,28270
2020-09-17,28289
2020-09-19,28299
2020-09-20,28329
2020-09-21,28332
2020-09-23,28354
2020-09-24,28363
2020-09-25,28341
2020-09-27,28334
2020-09-28,28312
2020-09-29,28311
2020-09-30,28280
2020-10-01,28249
2020-10-02,28250
2020-10-03,28159
2020-10-04,28141
2020-10-06,28163
2020-10-07,28229
2020-10-08,28291
2020-10-09,28320
2020-10-10,28335
2020-10-11,28362
2020-10-12,28391
2020-10-13,28421
2020-10-15,28433
2020-10-16,28442
2020-10-17,28472
2020-10-19,28482
2020-10-20,28488
2020-10-21,28492
2020-10-23,28485
2020-10-24,28484
2020-10-25,28515
2020-10-26,28535
2020-10-27,28529
2020-10-28,28558
2020-10-30,28566
2020-10-31,28585
2020-11-01,28643
2020-11-03,28655
2020-11-04,28681
2020-11-06,28708
2020-11-07,28715
2020-11-08,28737
2020-11-10,28764
2020-11-11,28784
2020-11-12,28799
2020-11-13,28828
2020-11-15,28857
2020-11-16,28856
2020-11-17,28860
2020-11-19,28895
2020-11-20,28924
2020-11-22,28954
2020-11-23,28983
2020-11-24,29043
2020-11-26,29067
2020-11-27,29091
2020-11-28,29110
2020-11-30,29137
2020-12-01,29148
2020-12-02,29178
2020-12-04,29204
2020-12-05,29224
2020-12-06,29285
2020-12-07,29766
2020-12-08,29797
2020-12-09,29816
2020-12-11,29798
2020-12-12,29816
2020-12-13,29832
2020-12-15,29856
2020-12-16,29836
2020-12-17,29842
2020-12-19,29901
2020-12-20,29992
2020-12-21,30054
2020-12-22,30119
2020-12-23,30181
2020-12-24,30244
2020-12-25,30275
2020-12-26,30337
2020-12-27,30368
2020-12-28,30401
2020-12-29,30432
2020-12-30,30448
2020-12-31,30514
2021-01-01,30577
2021-01-02,30670
2021-01-03,30831
2021-01-04,30894
2021-01-05,30925
2021-01-06,30956
2021-01-07,31018
2021-01-08,31051
2021-01-09,31219
2021-01-10,31350
2021-01-11,31383
2021-01-12,31413
2021-01-13,31446
2021-01-14,31478
2021-01-15,31510
2021-01-16,31575
2021-01-18,31598
2021-01-19,31630
2021-01-20,31648
2021-01-21,31681
2021-01-22,31713
2021-01-23,31777
2021-01-24,31843
2021-01-26,31907
2021-01-27,31939
2021-01-28,32037
2021-01-29,32108
2021-01-30,32174
2021-01-31,32388
2021-02-01,32494
2021-02-02,32634
2021-02-03,32738
2021-02-04,32839
2021-02-05,32938
2021-02-06,33007
2021-02-07,33079
2021-02-08,33148
2021-02-10,33217
2021-02-11,33251
2021-02-12,33321
2021-02-13,33391
2021-02-14,33497
2021-02-15,33571
2021-02-16,33756
2021-02-17,33906
2021-02-18,34046
2021-02-19,34191
2021-02-20,34297
2021-02-21,34402
2021-02-22,34475
2021-02-23,34580
2021-02-24,34651
2021-02-25,34687
2021-02-26,34759
2021-02-27,34831
2021-02-28,34905
2021-03-01,34982
2021-03-02,35017
2021-03-03,35053
2021-03-04,35088
2021-03-05,35161
2021-03-06,35269
2021-03-07,35379
2021-03-08,35415
2021-03-09,35487
2021-03-11,35559
2021-03-12,35598
2021-03-13,35671
2021-03-14,35824
2021-03-15,35860
2021-03-16,35897
2021-03-17,35970
2021-03-18,36008
2021-03-19,36081
2021-03-20,36203
2021-03-21,36350
2021-03-22,36387
2021-03-23,36463
2021-03-24,36572
2021-03-25,36651
2021-03-26,36687
2021-03-27,36802
2021-03-28,36917
2021-03-29,36953
2021-03-30,36990
2021-03-31,37027
2021-04-01,37102
2021-04-02,37139
2021-04-03,37212
2021-04-04,37286
2021-04-05,37360
2021-04-06,37396
2021-04-07,37427
2021-04-08,37541
2021-04-09,37615
2021-04-10,37690
2021-04-11,37835
2021-04-12,37871
2021-04-13,37945
2021-04-14,37982
2021-04-15,38018
2021-04-16,38054
2021-04-17,38090
2021-04-18,38128
2021-04-19,38164
2021-04-20,38175
2021-04-21,38193
2021-04-22,38229
2021-04-24,38302
2021-04-25,38338
2021-04-27,38366
2021-04-28,38396
2021-04-29,38423
2021-04-30,38500
2021-05-02,38512
2021-05-03,38548
2021-05-04,38584
2021-05-05,38622
2021-05-06,38641
2021-05-08,38713
2021-05-09,38785
2021-05-11,38815
2021-05-12,38824
2021-05-13,38856
2021-05-14,38892
2021-05-15,38966
2021-05-16,39038
2021-05-17,39077
2021-05-18,39114
2021-05-19,39145
2021-05-21,39185
2021-05-22,39257
2021-05-23,39293
2021-05-24,39320
2021-05-25,39347
2021-05-26,39384
2021-05-27,39402
2021-05-29,39465
2021-05-31,39537
2021-06-01,39573
2021-06-02,39609
2021-06-03,39766
2021-06-04,39839
2021-06-05,40164
2021-06-06,40425
2021-06-07,40571
2021-06-08,40690
2021-06-09,40800
2021-06-10,40873
2021-06-11,40984
2021-06-12,41133
2021-06-13,41359
2021-06-14,41512
2021-06-15,41586
2021-06-16,41658
2021-06-17,41768
2021-06-18,41843
2021-06-19,41951
2021-06-20,42025
2021-06-21,42098
2021-06-22,42210
2021-06-23,42283
2021-06-24,42394
2021-06-25,42506
2021-06-26,42616
2021-06-27,42690
2021-06-28,42799
2021-06-29,42875
2021-06-30,42948
2021-07-01,42986
2021-07-02,43022
2021-07-03,43095
2021-07-04,43168
2021-07-05,43206
2021-07-06,43278
2021-07-07,43350
2021-07-08,43422
2021-07-09,43458
2021-07-10,43537
2021-07-11,43646
2021-07-12,43682
2021-07-13,43754
2021-07-14,43754
2021-07-15,42356
2021-07-16,42055
2021-07-17,41205
2021-07-18,40749
2021-07-19,40520
2021-07-20,40296
2021-07-21,40074
2021-07-22,39739
2021-07-23,39593
2021-07-24,39485
2021-07-25,39412
2021-07-26,39340
2021-07-27,38441
2021-07-28,38259
2021-07-29,38073
2021-07-30,37999
2021-07-31,37886
2021-08-01,37811
2021-08-02,37737
2021-08-03,37663
2021-08-04,37590
2021-08-05,37554
2021-08-06,37517
2021-08-07,37442
2021-08-08,37405
2021-08-09,37332
2021-08-10,37296
2021-08-11,37259
2021-08-12,37225
2021-08-14,37189
2021-08-15,37150
2021-08-16,37077
2021-08-17,37041
2021-08-18,37005
2021-08-19,36933
2021-08-20,36896
2021-08-21,36858
2021-08-23,36828
2021-08-24,36791
2021-08-25,36761
2021-08-26,36725
2021-08-27,36688
2021-08-28,36651
2021-08-29,36615
2021-08-30,36581
2021-08-31,36544
2021-09-01,36520
2021-09-03,36510
2021-09-04,36482
2021-09-06,36449
2021-09-07,36422
2021-09-08,36398
2021-09-10,36383
2021-09-11,36365
2021-09-12,36335
2021-09-14,36313
2021-09-15,36282
2021-09-16,36264
2021-09-18,36241
2021-09-19,36221
2021-09-20,36191
2021-09-22,36166
2021-09-23,36153
2021-09-24,36126
2021-09-26,36090
2021-09-27,36067
2021-09-28,36037
2021-09-30,36026
2021-10-01,36002
2021-10-02,35972
2021-10-03,35936
2021-10-04,35899
2021-10-06,35871
2021-10-07,35835
2021-10-08,35809
2021-10-10,35791
2021-10-11,35767
2021-10-12,35743
2021-10-14,35725
2021-10-15,35707
2021-10-17,35686
2021-10-18,35674
2021-10-19,35642
2021-10-21,35612
2021-10-22,35604
2021-10-23,35586
2021-10-25,35559
2021-10-26,35537
2021-10-27,35520
2021-10-29,35510
2021-11-02,35449
2021-11-03,35428
2021-11-05,35414
2021-11-06,35388
2021-11-07,35361
