,follower
2020-07-27,6426
2020-07-28,6559
2020-07-29,7165
2020-07-30,7824
2020-07-31,9643
2020-08-01,10381
2020-08-02,10764
2020-08-03,10777
2020-08-05,11498
2020-08-06,11724
2020-08-07,11842
2020-08-08,11992
2020-08-17,13601
2020-08-18,13708
2020-08-20,13871
2020-08-21,14037
2020-08-22,14131
2020-08-23,14146
2020-08-24,14298
2020-08-27,14441
2020-08-29,14585
2020-08-31,14844
2020-09-02,14988
2020-09-03,15042
2020-09-22,16116
2020-09-30,16222
2020-10-02,16205
2020-10-03,16183
2020-10-08,16187
2020-10-13,16202
2020-10-20,16281
2020-10-23,16276
2020-10-24,16242
2020-10-30,16335
2020-11-07,16563
2020-11-13,16772
2020-11-15,17010
2020-11-16,17123
2020-11-17,17161
2020-11-19,17198
2020-11-21,17231
2020-11-22,17249
2020-11-24,17469
2020-11-25,17526
2020-11-26,17586
2020-11-27,17679
2020-11-29,17835
2020-11-30,17873
2020-12-02,17965
2020-12-04,18102
2020-12-07,18323
2020-12-11,19225
2020-12-19,19438
2020-12-21,19621
2020-12-22,19644
2020-12-28,20155
2020-12-30,20187
2020-12-31,20254
2021-01-07,20552
2021-01-09,20638
2021-01-11,20651
2021-01-21,20980
2021-01-24,21205
2021-01-25,21588
2021-01-26,22004
2021-01-27,22230
2021-01-28,22423
2021-01-29,24407
2021-01-30,27515
2021-01-31,28280
2021-02-01,28933
2021-02-02,29869
2021-02-03,30649
2021-02-04,31230
2021-02-05,31659
2021-02-06,32669
2021-02-07,33275
2021-02-08,33866
2021-02-09,34606
2021-02-10,35100
2021-02-11,35501
2021-02-12,36134
2021-02-13,36692
2021-02-14,37354
2021-02-15,38004
2021-02-16,38709
2021-02-17,39409
2021-02-18,39952
2021-02-19,40496
2021-02-20,41061
2021-02-21,41395
2021-02-22,41889
2021-02-23,42390
2021-02-24,42779
2021-02-25,42962
2021-02-26,43571
2021-02-27,45093
2021-03-10,45605
2021-03-12,45675
2021-03-16,45969
2021-03-17,46158
2021-03-19,46947
2021-03-20,47150
2021-03-24,48138
2021-04-02,48369
2021-04-06,48421
2021-04-10,48487
2021-04-14,48521
2021-04-18,48532
2021-04-22,48578
2021-05-06,48715
2021-05-10,48723
2021-05-14,48702
2021-05-22,48800
2021-05-26,48810
2021-05-30,48816
2021-06-03,48801
2021-06-07,48783
2021-06-11,48770
2021-06-15,48767
2021-06-25,48925
2021-06-26,48963
2021-06-27,49037
2021-07-01,49037
2021-07-05,49070
2021-07-09,49081
2021-07-13,49076
2021-07-26,49704
2021-07-30,49858
2021-08-01,51343
2021-08-02,51499
2021-08-05,51470
2021-08-08,51475
2021-08-12,51473
2021-08-15,51417
2021-08-28,51597
2021-09-02,51726
2021-09-06,51696
2021-09-10,51677
2021-09-14,51661
2021-09-18,51639
2021-09-22,51604
2021-10-03,51505
2021-10-07,51457
2021-10-11,51435
2021-10-15,51427
2021-10-19,51399
2021-10-23,51380
2021-10-27,51363
2021-11-03,51481
2021-11-06,52098
2021-11-08,52395
2021-11-17,52445
2021-12-08,52122
2021-12-10,52072
2021-12-21,51909
2021-12-25,51851
2021-12-29,51798
2022-01-05,51764
2022-01-09,51732
2022-01-13,51726
2022-01-19,51852
2022-01-24,52185
2022-01-25,52412
2022-01-26,52474
2022-01-31,52530
2022-02-06,52517
2022-02-08,52563
2022-02-12,52579
2022-02-13,52767
2022-02-14,52805
2022-02-16,52807
2022-02-20,52753
2022-02-24,52680
2022-02-28,52615
2022-03-14,52532
2022-03-27,52361
2022-03-31,52308
2022-04-02,52379
2022-04-03,52535
2022-04-04,52856
2022-04-07,53013
2022-04-09,53108
2022-04-10,53149
2022-04-24,53353
2022-05-10,53129
2022-05-14,53047
2022-05-21,52992
2022-05-25,52967
2022-05-30,53108
2022-05-31,53404
2022-06-04,53696
2022-06-05,53768
2022-06-12,53733
2022-06-16,53753
2022-07-02,53650
2022-07-07,53497
2022-07-08,53196
2022-07-10,52891
2022-07-14,52884
2022-08-28,53239
2022-09-01,53259
2022-09-09,53245
