,follower
2019-10-29,2143
2019-10-30,2334
2019-10-31,2444
2019-11-01,2538
2019-11-02,2684
2019-11-03,2826
2019-11-04,3429
2019-11-05,3705
2019-11-06,3860
2019-11-07,4742
2019-11-08,5059
2019-11-09,5935
2019-11-10,6539
2019-11-11,6730
2019-11-12,6863
2019-11-13,7149
2019-11-14,7317
2019-11-15,7399
2019-11-16,7592
2019-11-17,7754
2019-11-18,7864
2019-11-19,7917
2019-11-20,8053
2019-11-21,8122
2019-11-22,8235
2019-11-23,8338
2019-11-24,8429
2019-11-25,8475
2019-11-26,8523
2019-11-27,8591
2019-11-28,8828
2019-11-29,8951
2019-11-30,9094
2019-12-01,9310
2019-12-02,9358
2019-12-03,9397
2019-12-04,9464
2019-12-05,9500
2019-12-06,9549
2019-12-07,9591
2019-12-08,9616
2019-12-09,9658
2019-12-10,9719
2019-12-11,9771
2019-12-12,9806
2019-12-13,9835
2019-12-14,9892
2019-12-15,9921
2019-12-16,9970
2019-12-17,10026
2019-12-18,10127
2019-12-19,10155
2019-12-20,10179
2019-12-21,10199
2019-12-22,10229
2019-12-23,10260
2019-12-24,10275
2019-12-25,10325
2019-12-26,10344
2019-12-27,10366
2019-12-28,10408
2019-12-29,10443
2019-12-30,10477
2019-12-31,10495
2020-01-01,10511
2020-01-02,10549
2020-01-03,10575
2020-01-04,10601
2020-01-05,10622
2020-01-06,10688
2020-01-07,10723
2020-01-08,10765
2020-01-09,10795
2020-01-10,10867
2020-01-11,11031
2020-01-12,11198
2020-01-13,11257
2020-01-14,11314
2020-01-15,11398
2020-01-16,11446
2020-01-17,11485
2020-01-18,11540
2020-01-19,11598
2020-01-20,11619
2020-01-21,11641
2020-01-22,11716
2020-01-23,11762
2020-01-24,11805
2020-01-25,11859
2020-01-26,11948
2020-01-27,12015
2020-01-28,12094
2020-01-29,12173
2020-01-30,12202
2020-01-31,12395
2020-02-01,12608
2020-02-02,12717
2020-02-03,12806
2020-02-04,12889
2020-02-05,12966
2020-02-06,13018
2020-02-07,13157
2020-02-08,13274
2020-02-09,13404
2020-02-10,13458
2020-02-11,13540
2020-02-12,13609
2020-02-13,13661
2020-02-14,13752
2020-02-15,13881
2020-02-16,14079
2020-02-17,14139
2020-02-18,14173
2020-02-19,14227
2020-02-20,14273
2020-02-21,14306
2020-02-22,14396
2020-02-23,15131
2020-02-24,15972
2020-02-25,16189
2020-02-26,16609
