date,434334701,480680646,7706705,14387072,480745939,420249427,666726801,741520,421267475,477342747,56748733,690608693,98181,690608704,690608687,477317922,529249,61639371,370687588,392505232,558070433,1750561,690608686,434401868,690608709,455916618,1484169431,666726799,6853766,474369808,472877684,628292885,690608706,477306079,666726803,558070436,690608691,490331391,690608690,690608698,480675481,1155425566,690608714,690608694,472845978,628292881,690608702,472821519,690608695,558070434,690608688,666726802,36795838,666726800,690608689,370689210,455965041,12485637,1405589619,690608712,176836079,690608696,370687372,322210278,1954091502,690608701,319810877,1116072703,690608692,690608711,1739085910,690608710
2019-07-09,9522.0,,,,,7856.0,,,6886.0,,,,,,,,,11774.0,,37053.0,,,,3279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-10,9687.0,,,,,7897.0,,,6919.0,,,,,,,,,11837.0,,37151.0,,,,3411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-11,9886.0,,,,,7943.0,,,6950.0,,,,,,,,,11884.0,,37202.0,,,,3475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-12,9965.0,,,,,7975.0,,,6976.0,,,,,,,,,11914.0,,37411.0,,,,3538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-13,10083.0,,,,,8014.0,,,6994.0,,,,,,,,,11945.0,,37456.0,,,,3575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-14,11984.0,,,,,9124.0,,,7094.0,,,,,,,,,11966.0,,37574.0,,,,3670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-15,13177.0,,,,,9346.0,,,7294.0,,,,,,,,,12004.0,,37723.0,,,,3766.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16,13395.0,,,,,9531.0,,,7349.0,,,,,,,,,12020.0,,37778.0,,,,3920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17,13615.0,,,,,9615.0,,,7421.0,,,,,,,,,12036.0,,37829.0,,,,4068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-18,13887.0,,,,,9677.0,,,7509.0,,,,,,,,,12040.0,,37885.0,,,,4329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
