,690608692
2021-08-19,12304
2021-08-20,12343
2021-08-21,12589
2021-08-22,12661
2021-08-23,12715
2021-08-24,12782
2021-08-25,12868
2021-08-26,12921
2021-08-27,12988
2021-08-28,13043
2021-08-29,13073
2021-08-30,13101
2021-08-31,13115
2021-09-01,13129
2021-09-02,13154
2021-09-03,13168
2021-09-04,13196
2021-09-05,13210
2021-09-06,13234
2021-09-07,13248
2021-09-08,13276
2021-09-09,13305
2021-09-10,13320
2021-09-11,13349
2021-09-12,13363
2021-09-13,13377
2021-09-14,13437
2021-09-15,13452
2021-09-16,13463
2021-09-17,13477
2021-09-18,13494
2021-09-19,13539
2021-09-20,13567
2021-09-21,13581
2021-09-22,13587
2021-09-23,13601
2021-09-24,13608
2021-09-25,13638
2021-09-27,13652
2021-09-28,13666
2021-09-29,13687
2021-09-30,13703
2021-10-01,13718
2021-10-02,13724
2021-10-03,13739
2021-10-04,13753
2021-10-05,13766
2021-10-06,13781
2021-10-08,13826
2021-10-09,13869
2021-10-10,13883
2021-10-11,13897
2021-10-13,13910
2021-10-14,13912
2021-10-15,13914
2021-10-16,13979
2021-10-17,14325
2021-10-19,14334
2021-10-20,14330
2021-10-21,14346
2021-10-22,14384
2021-10-24,14414
2021-10-26,14422
2021-10-27,14437
2021-10-28,14449
2021-10-29,14457
2021-11-02,14481
2021-11-03,14479
2021-11-05,14487
2021-11-06,14482
2021-11-07,14497
2021-11-08,14497
2021-11-10,14501
2021-11-11,14508
2021-11-12,14523
2021-11-13,14538
2021-11-14,14612
2021-11-16,14620
2021-11-17,14616
2021-11-19,14621
2021-11-20,14614
2021-11-21,14580
2021-11-22,14549
2021-12-05,14546
2021-12-06,14561
2021-12-08,14555
2021-12-09,14561
2021-12-11,14573
2021-12-12,14584
2021-12-13,14582
2021-12-15,14587
2021-12-16,14585
2021-12-17,14593
2021-12-19,14608
2021-12-20,14621
2021-12-21,14640
2021-12-23,14651
2021-12-24,14656
2021-12-25,14674
2021-12-27,14680
2021-12-28,14695
2021-12-29,14700
2021-12-31,14705
2022-01-01,14708
2022-01-02,14711
2022-01-04,14724
2022-01-05,14729
2022-01-07,14735
2022-01-08,14747
2022-01-09,14759
2022-01-11,14780
2022-01-13,14791
2022-01-14,14796
2022-01-15,14795
2022-01-17,14803
2022-01-18,14813
2022-01-20,14821
2022-01-21,14820
2022-01-22,14823
2022-01-24,14818
2022-01-25,14820
2022-01-26,14815
2022-01-28,14817
2022-01-29,14818
2022-01-30,14808
2022-02-01,14826
2022-02-04,14829
2022-02-05,14839
2022-02-06,14901
2022-02-07,14916
2022-02-08,14931
2022-02-09,14942
2022-02-10,14930
2022-02-12,14926
2022-02-13,14926
2022-02-14,14927
2022-02-16,14935
2022-02-17,14943
2022-02-18,14947
2022-02-19,14970
2022-02-21,14974
2022-02-22,14967
2022-02-23,14970
2022-02-25,14971
2022-02-26,14974
2022-02-27,14982
2022-03-01,14985
2022-03-02,14985
2022-03-03,14983
2022-03-05,14984
2022-03-06,14949
2022-03-07,14881
2022-03-08,14885
2022-03-09,14839
2022-03-10,14824
2022-03-11,14809
2022-03-12,14799
2022-03-14,14789
2022-03-15,14774
2022-03-16,14769
2022-03-18,14754
2022-03-19,14744
2022-03-20,14736
2022-03-22,14726
2022-03-23,14726
2022-03-24,14722
2022-03-26,14716
2022-03-27,14710
2022-03-28,14695
2022-03-30,14700
2022-03-31,14705
2022-04-01,14710
2022-04-03,14705
2022-04-04,14703
2022-04-05,14702
2022-04-07,14698
2022-04-08,14699
2022-04-09,14695
2022-04-11,14698
2022-04-12,14693
2022-04-13,14678
2022-04-15,14669
2022-04-16,14656
2022-04-17,14650
2022-04-18,14635
2022-04-20,14628
2022-04-21,14627
2022-04-22,14623
2022-04-24,14614
2022-04-25,14608
2022-04-27,14596
2022-04-28,14581
2022-04-30,14571
2022-05-01,14579
2022-05-03,14584
2022-05-04,14595
2022-05-05,14603
2022-05-07,14601
2022-05-08,14604
2022-05-09,14613
2022-05-11,14614
2022-05-12,14609
2022-05-14,14602
2022-05-15,14602
2022-05-16,14602
2022-05-18,14605
2022-05-19,14603
2022-05-20,14609
2022-05-22,14616
2022-05-23,14615
2022-05-24,14614
2022-05-26,14615
2022-05-27,14616
2022-05-28,14618
2022-05-29,14633
2022-05-30,14633
2022-06-01,14634
2022-06-02,14635
2022-06-03,14643
2022-06-05,14654
2022-06-06,14658
2022-06-07,14655
