,follower
2021-09-25,2454
2021-09-26,2708
2021-09-27,2872
2021-09-28,2964
2021-09-29,3041
2021-09-30,3188
2021-10-01,3300
2021-10-02,3842
2021-10-03,4127
2021-10-04,4541
2021-10-05,4722
2021-10-06,4853
2021-10-07,5007
2021-10-08,5071
2021-10-09,5120
2021-10-10,5166
2021-10-11,5200
2021-10-12,5212
2021-10-13,5227
2021-10-14,5252
2021-10-15,5265
2021-10-16,5287
2021-10-17,5311
2021-10-18,5317
2021-10-19,5341
2021-10-20,5347
2021-10-21,5360
2021-10-22,5372
2021-10-23,5399
2021-10-24,5414
2021-10-25,5420
2021-10-26,5426
2021-10-27,5438
2021-10-28,5444
2021-10-29,5450
2021-11-02,5496
2021-11-03,5508
2021-11-05,5531
2021-11-06,5543
2021-11-08,5551
2021-11-09,5571
2021-11-10,5577
2021-11-11,5583
2021-11-12,5619
2021-11-13,5655
2021-11-14,5692
2021-11-15,5705
2021-11-16,5717
2021-11-17,5735
2021-11-18,5741
2021-11-19,5747
2021-11-20,5747
2021-11-21,5740
2021-11-23,5741
2021-12-05,5829
2021-12-06,5835
2021-12-07,5847
2021-12-09,5859
2021-12-10,5871
2021-12-11,5927
2021-12-12,5951
2021-12-13,5964
2021-12-15,5970
2021-12-16,5976
2021-12-17,5982
2021-12-18,5999
2021-12-19,6005
2021-12-20,6012
2021-12-21,6018
2021-12-22,6025
2021-12-23,6039
2021-12-24,6047
2021-12-25,6063
2021-12-26,6070
2021-12-27,6081
2021-12-29,6086
2021-12-30,6093
2021-12-31,6097
2022-01-01,6126
2022-01-02,6133
2022-01-03,6149
2022-01-04,6156
2022-01-05,6161
2022-01-06,6155
2022-01-08,6169
2022-01-10,6173
2022-01-11,6175
2022-01-12,6183
2022-01-13,6190
2022-01-14,6197
2022-01-15,6200
2022-01-16,6221
2022-01-17,6214
2022-01-18,6235
2022-01-19,6250
2022-01-21,6256
2022-01-22,6263
2022-01-23,6278
2022-01-24,6285
2022-01-25,6292
2022-01-26,6292
2022-01-27,6299
2022-01-29,6308
2022-01-30,6309
2022-02-01,6336
2022-02-04,6361
2022-02-05,6367
2022-02-06,6372
2022-02-07,6379
2022-02-08,6393
2022-02-10,6400
2022-02-11,6414
2022-02-12,6421
2022-02-13,6435
2022-02-14,6449
2022-02-15,6456
2022-02-16,6463
2022-02-18,6465
2022-02-19,6474
2022-02-21,6475
2022-02-22,6484
2022-02-23,6491
2022-02-25,6495
2022-02-26,6505
2022-02-28,6506
2022-03-01,6504
2022-03-02,6507
2022-03-04,6510
2022-03-05,6503
2022-03-06,6514
2022-03-07,6510
2022-03-09,6515
2022-03-10,6522
2022-03-11,6529
2022-03-12,6543
2022-03-13,6557
2022-03-14,6571
2022-03-15,6578
2022-03-16,6585
2022-03-17,6581
2022-03-19,6585
2022-03-20,6603
2022-03-21,6610
2022-03-22,6617
2022-03-23,6622
2022-03-24,6629
2022-03-25,6636
2022-03-26,6645
2022-03-27,6656
2022-03-29,6752
2022-03-30,6759
2022-03-31,6767
2022-04-01,6774
2022-04-02,6783
2022-04-03,6776
2022-04-04,6787
2022-04-06,6785
2022-04-07,6788
2022-04-08,6802
2022-04-09,6810
2022-04-10,9931
2022-04-11,9820
2022-04-12,9789
2022-04-13,9779
2022-04-14,9772
2022-04-15,9761
2022-04-16,9741
2022-04-17,9731
2022-04-18,9701
2022-04-19,9691
2022-04-20,9673
2022-04-21,9653
2022-04-22,9643
2022-04-24,9626
2022-04-25,9616
2022-04-26,9608
2022-04-28,9608
2022-04-29,9598
2022-05-01,9606
2022-05-02,9626
2022-05-03,9649
2022-05-04,9669
2022-05-06,9663
2022-05-07,9683
2022-05-09,9683
2022-05-10,9704
2022-05-12,9727
2022-05-14,9742
2022-05-15,9779
2022-05-17,9788
2022-05-18,9798
2022-05-19,9802
2022-05-21,9823
2022-05-22,9833
2022-05-24,9841
2022-05-25,9848
2022-05-26,9853
2022-05-28,9861
2022-05-29,9881
2022-05-30,9901
2022-05-31,9921
2022-06-01,9941
2022-06-02,9961
2022-06-03,9971
2022-06-04,9992
2022-06-05,9906
2022-06-07,9914
2022-06-08,9934
2022-06-10,9938
2022-06-11,9945
2022-06-12,9955
2022-06-13,9965
2022-06-15,9964
2022-06-16,9966
2022-06-17,9966
2022-06-18,9976
2022-06-19,9986
2022-06-20,10006
2022-06-21,10017
2022-06-22,10024
2022-06-23,10038
2022-06-25,10054
2022-06-26,10065
2022-06-28,10074
2022-06-29,10079
2022-06-30,10090
2022-07-01,10101
2022-07-02,10112
2022-07-03,10123
2022-07-04,10134
2022-07-06,10160
2022-07-07,10137
2022-07-08,10092
2022-07-09,10042
2022-07-11,10061
2022-07-13,10080
2022-07-14,10102
2022-07-15,10124
2022-07-16,10135
2022-07-17,10146
2022-07-18,10168
2022-07-19,10192
2022-07-20,10236
2022-07-21,10247
2022-07-22,10280
2022-07-23,10314
2022-07-24,10326
2022-07-25,10372
2022-07-26,10394
2022-07-27,10439
2022-07-28,10461
2022-07-29,10483
2022-07-30,10494
2022-07-31,10527
2022-08-01,10538
2022-08-02,10560
2022-08-03,10582
2022-08-04,10615
2022-08-05,10626
2022-08-06,10637
2022-08-07,10648
2022-08-08,10681
2022-08-09,10692
2022-08-10,10714
2022-08-11,10749
2022-08-12,10760
2022-08-13,10782
2022-08-14,10804
2022-08-15,10826
2022-08-16,10859
2022-08-17,10881
2022-08-18,10903
2022-08-19,10914
2022-08-20,10948
2022-08-21,10992
2022-08-22,11030
2022-08-23,11080
2022-08-24,11117
2022-08-25,11155
2022-08-26,11191
2022-08-27,11230
2022-08-28,11256
2022-08-29,11298
2022-08-30,11322
2022-08-31,11368
2022-09-01,11381
2022-09-02,11393
2022-09-03,11432
2022-09-04,11446
2022-09-05,11459
2022-09-06,11471
2022-09-07,11495
2022-09-08,11507
2022-09-09,11520
