,666726803
2020-11-03,10818
2020-11-04,10913
2020-11-05,10935
2020-11-06,11015
2020-11-07,11189
2020-11-08,11278
2020-11-09,11376
2020-11-10,11454
2020-11-11,11502
2020-11-12,11621
2020-11-13,11755
2020-11-14,11936
2020-11-15,12063
2020-11-16,12132
2020-11-17,12231
2020-11-18,12385
2020-11-19,12586
2020-11-20,12780
2020-11-21,13078
2020-11-22,13357
2020-11-23,13493
2020-11-24,13665
2020-11-25,13811
2020-11-26,13954
2020-11-27,14215
2020-11-28,15167
2020-11-29,16057
2020-11-30,16259
2020-12-01,16499
2020-12-02,16805
2020-12-03,17010
2020-12-04,17233
2020-12-05,17786
2020-12-06,18239
2020-12-07,18536
2020-12-08,18721
2020-12-09,19207
2020-12-10,19648
2020-12-11,20230
2020-12-12,20703
2020-12-13,21037
2020-12-14,21282
2020-12-15,21505
2020-12-16,21777
2020-12-17,22016
2020-12-18,22391
2020-12-19,22993
2020-12-20,23568
2020-12-21,23931
2020-12-22,24173
2020-12-23,24390
2020-12-24,24599
2020-12-25,24900
2020-12-26,25332
2020-12-27,25664
2020-12-28,25856
2020-12-29,26087
2020-12-30,26341
2020-12-31,26823
2021-01-01,27412
2021-01-02,28001
2021-01-03,28579
2021-01-04,28859
2021-01-05,29087
2021-01-06,29281
2021-01-07,29533
2021-01-08,29750
2021-01-09,30145
2021-01-10,30522
2021-01-11,30622
2021-01-12,30752
2021-01-13,30914
2021-01-14,31154
2021-01-15,31363
2021-01-16,31676
2021-01-17,31907
2021-01-18,32150
2021-01-19,32287
2021-01-20,32461
2021-01-21,32640
2021-01-22,33102
2021-01-23,33493
2021-01-24,33746
2021-01-25,34032
2021-01-26,34214
2021-01-27,34403
2021-01-28,34675
2021-01-29,34983
2021-01-30,35351
2021-01-31,35613
2021-02-01,35801
2021-02-02,36034
2021-02-03,36179
2021-02-04,36405
2021-02-05,36640
2021-02-06,36953
2021-02-07,37522
2021-02-08,37999
2021-02-09,38382
2021-02-10,38806
2021-02-11,39113
2021-02-12,39308
2021-02-13,39456
2021-02-14,39836
2021-02-15,40066
2021-02-16,40347
2021-02-17,40569
2021-02-18,40678
2021-02-19,40789
2021-02-20,41076
2021-02-21,41151
2021-02-22,41226
2021-02-23,41335
2021-02-24,41445
2021-02-25,41518
2021-02-26,41593
2021-02-27,42245
2021-02-28,42578
2021-03-01,42655
2021-03-02,42691
2021-03-03,42731
2021-03-04,42767
2021-03-05,42786
2021-03-06,42823
2021-03-07,42896
2021-03-09,42921
2021-03-10,42935
2021-03-11,42945
2021-03-13,42948
2021-03-14,42974
2021-03-15,42965
2021-03-17,42982
2021-03-18,42981
2021-03-19,42990
2021-03-21,43010
2021-03-22,43026
2021-03-23,43044
