,follower
1662727800080,50939
2020-01-25,8635
2020-01-26,8937
2020-01-27,9124
2020-01-28,9263
2020-01-29,9397
2020-01-30,9527
2020-01-31,9925
2020-02-01,10236
2020-02-02,10374
2020-02-03,10564
2020-02-04,10750
2020-02-05,10870
2020-02-06,10935
2020-02-07,11103
2020-02-08,11410
2020-02-09,11595
2020-02-10,11730
2020-02-11,11894
2020-02-12,12108
2020-02-13,12208
2020-02-14,12415
2020-02-15,12651
2020-02-16,12837
2020-02-17,12955
2020-02-18,13051
2020-02-19,13137
2020-02-20,13213
2020-02-21,13376
2020-02-22,13509
2020-02-23,13677
2020-02-24,13814
2020-02-25,13874
2020-02-26,13954
2020-02-27,14020
2020-02-28,14135
2020-02-29,14312
2020-03-01,14396
2020-03-02,14520
2020-03-03,16202
2020-03-04,16476
2020-03-05,16557
2020-03-06,16639
2020-03-07,16784
2020-03-08,16836
2020-03-09,16884
2020-03-10,16906
2020-03-11,16945
2020-03-12,16989
2020-03-13,17045
2020-03-14,17104
2020-03-15,17222
2020-03-16,17273
2020-03-17,17336
2020-03-18,17556
2020-03-19,18012
2020-03-20,18190
2020-03-21,18382
2020-03-22,18445
2020-03-23,18481
2020-03-24,18556
2020-03-25,18638
2020-03-26,18681
2020-03-27,18758
2020-03-28,18817
2020-03-29,18986
2020-03-30,19071
2020-03-31,19155
2020-04-01,19383
2020-04-02,19430
2020-04-03,19498
2020-04-04,19571
2020-04-05,19718
2020-04-06,19790
2020-04-07,19979
2020-04-08,20966
2020-04-09,21493
2020-04-10,21667
2020-04-11,21907
2020-04-12,22024
2020-04-13,22143
2020-04-14,22221
2020-04-15,22299
2020-04-16,22428
2020-04-17,22641
2020-04-18,22862
2020-04-19,22991
2020-04-20,23125
2020-04-21,23269
2020-04-22,23508
2020-04-23,23717
2020-04-24,23870
2020-04-25,23999
2020-04-26,24141
2020-04-27,24225
2020-04-28,24380
2020-04-29,24537
2020-04-30,24633
2020-05-01,24749
2020-05-02,24844
2020-05-03,25068
2020-05-04,25332
2020-05-05,25467
2020-05-06,25662
2020-05-07,25937
2020-05-08,26245
2020-05-09,26602
2020-05-10,26734
2020-05-11,26761
2020-05-12,27053
2020-05-13,27292
2020-05-14,27359
2020-05-15,27387
2020-05-16,27672
2020-05-17,27755
2020-05-18,28026
2020-05-19,28165
2020-05-20,28314
2020-05-21,28344
2020-05-22,28654
2020-05-23,28927
2020-05-24,29267
2020-05-25,29624
2020-05-26,29785
2020-05-27,30193
2020-05-28,30225
2020-05-29,30492
2020-05-30,30528
2020-05-31,30899
2020-06-01,30974
2020-06-02,31059
2020-06-04,31198
2020-06-05,31333
2020-06-06,31426
2020-06-08,31749
2020-06-09,31954
2020-06-10,32045
2020-06-11,32206
2020-06-12,32374
2020-06-13,32486
2020-06-14,32660
2020-06-16,32797
2020-06-19,32997
2020-06-22,33166
2020-06-23,33304
2020-06-26,33735
2020-06-30,34155
2020-07-03,34595
2020-07-04,34761
2020-07-07,35116
2020-07-08,35323
2020-07-09,35599
2020-07-10,37000
2020-07-11,38506
2020-07-12,38811
2020-07-13,39076
2020-07-14,39329
2020-07-15,39497
2020-07-17,39885
2020-07-18,40029
2020-07-19,40194
2020-07-20,40389
2020-07-21,40504
2020-07-22,40662
2020-07-23,40781
2020-07-25,41141
2020-07-26,41342
2020-07-27,41578
2020-07-28,42102
2020-07-29,42869
2020-07-30,43494
2020-07-31,44059
2020-08-01,44397
2020-08-02,44766
2020-08-05,45562
2020-08-06,45797
2020-08-07,45835
2020-08-08,46192
2020-08-16,48233
2020-08-17,48518
2020-08-18,48570
2020-08-20,49145
2020-08-21,50457
2020-08-22,52851
2020-08-23,53115
2020-08-24,53515
2020-08-25,53706
2020-08-26,53830
2020-08-27,54182
2020-08-28,54375
2020-08-29,54597
2020-08-30,54639
2020-09-24,58199
2020-09-25,58127
2020-09-28,58192
2020-09-30,57918
2020-10-01,57487
2020-10-02,57282
2020-10-03,56886
2020-10-04,56661
2020-10-05,56474
2020-10-07,56361
2020-10-08,56284
2020-10-09,56248
2020-10-12,56169
2020-10-16,56104
2020-10-18,56042
2020-10-19,55720
2020-10-20,55566
2020-10-21,55445
2020-10-22,55329
2020-10-23,55082
2020-10-24,54895
2020-10-27,54556
