,follower
2021-09-25,3087
2021-09-26,3451
2021-09-27,3679
2021-09-28,3835
2021-09-29,4118
2021-09-30,4422
2021-10-01,4607
2021-10-02,5099
2021-10-03,5443
2021-10-04,6824
2021-10-05,7477
2021-10-06,8029
2021-10-07,8729
2021-10-08,8940
2021-10-09,9121
2021-10-10,9315
2021-10-11,9336
2021-10-12,9550
2021-10-13,9639
2021-10-14,9715
2021-10-15,9771
2021-10-16,9917
2021-10-18,10073
2021-10-19,10194
2021-10-20,10243
2021-10-21,10305
2021-10-22,10413
2021-10-23,10580
2021-10-24,10688
2021-10-25,10752
2021-10-26,10797
2021-10-28,10866
2021-11-02,11137
2021-11-04,11185
2021-11-12,11551
2021-11-13,11656
2021-11-16,11761
2021-12-05,18837
2021-12-06,18995
2021-12-08,19296
2021-12-10,19679
2021-12-11,20080
2021-12-12,20491
2021-12-13,20659
2021-12-14,20814
2021-12-15,20995
2021-12-16,21220
2021-12-17,21496
2021-12-18,22075
2021-12-19,22526
2021-12-20,22726
2021-12-22,23067
2021-12-23,23221
2021-12-24,23458
2021-12-25,23695
2021-12-26,23793
2021-12-27,23843
2021-12-31,24073
2022-01-04,24430
2022-01-05,24455
2022-01-06,24524
2022-01-07,24603
2022-01-14,24993
2022-01-15,25313
2022-01-16,27936
2022-01-28,28986
2022-02-01,29077
2022-02-04,29421
2022-02-05,29527
2022-02-08,29614
2022-02-12,29624
2022-02-17,29697
2022-02-20,29761
2022-02-26,30190
2022-03-06,30453
2022-03-12,30876
2022-03-13,30911
2022-03-18,31342
2022-03-19,35162
2022-03-25,35489
2022-03-27,35601
2022-04-02,35699
2022-04-04,35857
2022-04-09,35972
2022-04-10,37868
2022-04-24,37840
2022-04-30,38475
2022-05-02,39112
2022-05-04,39521
2022-05-05,39560
2022-05-06,39746
2022-05-08,39892
2022-05-09,39934
2022-05-15,40333
2022-05-17,40370
2022-05-24,40794
2022-05-27,40863
2022-05-28,41157
2022-05-30,42449
2022-05-31,42668
2022-06-01,42962
2022-06-02,43218
2022-06-03,43477
2022-06-04,43659
2022-06-06,43950
2022-06-13,44640
2022-06-14,44693
2022-06-20,45650
2022-06-21,46215
2022-06-23,46544
2022-06-24,46653
2022-06-25,46838
2022-06-29,47371
2022-07-01,47555
2022-07-02,47701
2022-07-03,47743
2022-07-04,48336
2022-07-05,49130
2022-07-06,49385
2022-07-07,49423
2022-07-08,49387
2022-07-12,49358
2022-07-13,49503
2022-07-14,49613
2022-07-15,49760
2022-07-18,50232
2022-07-19,50425
2022-07-21,50722
2022-07-23,50975
2022-07-25,51561
2022-07-26,52221
2022-07-27,53270
2022-07-28,53877
2022-07-29,54436
2022-07-30,54949
2022-07-31,55510
2022-08-01,56050
2022-08-02,56611
2022-08-03,57065
2022-08-04,57438
2022-08-05,57849
2022-08-06,58217
2022-08-07,58549
2022-08-08,59733
2022-08-09,60289
2022-08-10,60772
2022-08-11,61212
2022-08-12,61547
2022-08-13,61956
2022-08-14,62477
2022-08-15,62887
2022-08-16,63453
2022-08-17,64066
2022-08-18,64890
2022-08-19,66077
2022-08-20,68346
2022-08-21,69055
2022-08-22,69926
2022-08-23,70411
2022-08-24,70495
2022-08-25,71590
2022-08-26,72161
2022-08-27,72622
2022-08-28,72986
2022-08-29,73426
2022-08-30,73944
2022-08-31,73981
2022-09-01,74999
2022-09-02,75371
2022-09-03,75848
2022-09-04,76252
2022-09-05,76473
2022-09-07,76894
2022-09-08,77329
2022-09-10,81331
