,follower
2020-12-03,10028
2020-12-05,10125
2020-12-06,10194
2020-12-07,10252
2020-12-08,10319
2020-12-11,10485
2020-12-12,10571
2020-12-14,10651
2020-12-16,10674
2020-12-18,10718
2020-12-19,10751
2020-12-20,10899
2020-12-21,11097
2020-12-22,11171
2020-12-24,11282
2020-12-25,11359
2020-12-26,11505
2020-12-27,11585
2020-12-28,11640
2020-12-29,11676
2020-12-30,11737
2020-12-31,11813
2021-01-01,11914
2021-01-02,12073
2021-01-03,12267
2021-01-04,12283
2021-01-05,12404
2021-01-07,12539
2021-01-09,12718
2021-01-11,12812
2021-01-12,12825
2021-01-13,12896
2021-01-15,12974
2021-01-17,13073
2021-01-23,13316
2021-01-24,13344
2021-01-26,13400
2021-01-28,13531
2021-01-29,13610
2021-01-31,13740
2021-02-01,13867
2021-02-02,14072
2021-02-03,14171
2021-02-04,14299
2021-02-05,14383
2021-02-06,14464
2021-02-07,14543
2021-02-08,14620
2021-02-09,14734
2021-02-10,14831
2021-02-11,15020
2021-02-12,15284
2021-02-13,15483
2021-02-14,15674
2021-02-15,15836
2021-02-16,16018
2021-02-17,16201
2021-02-18,16387
2021-02-19,16519
2021-02-20,16700
2021-02-21,16828
2021-02-22,16939
2021-02-23,17049
2021-02-24,17224
2021-02-25,17302
2021-02-26,17462
2021-02-27,17711
2021-02-28,17845
2021-03-01,17939
2021-03-03,18079
2021-03-04,18160
2021-03-05,18413
2021-03-06,18553
2021-03-07,18669
2021-03-08,18746
2021-03-09,18823
2021-03-10,18880
2021-03-12,19041
2021-03-13,19147
2021-03-19,19816
2021-03-25,20225
2021-03-26,20288
2021-04-02,20624
2021-04-07,20837
2021-04-09,20922
2021-04-10,20985
2021-04-11,21006
2021-04-16,21228
2021-04-18,21340
2021-04-20,21385
2021-04-23,21452
2021-04-29,21921
2021-04-30,22008
2021-05-02,22259
2021-05-04,22328
2021-05-12,22826
2021-05-13,22850
2021-05-14,23123
2021-05-15,23179
2021-05-20,23323
2021-05-28,23498
2021-05-30,23546
2021-06-21,23868
2021-06-23,23963
2021-06-24,23989
2021-06-27,24303
2021-06-29,24379
2021-07-02,24442
2021-07-05,24509
2021-07-13,24672
2021-07-17,24745
2021-07-18,25146
2021-07-19,25243
2021-07-20,25760
2021-07-23,25894
2021-07-24,26033
2021-07-25,26145
2021-07-27,26258
2021-07-29,26339
2021-08-03,26503
2021-08-04,26620
2021-08-07,27157
2021-08-08,27185
2021-08-10,27879
2021-08-12,27997
2021-08-19,28205
2021-08-23,28279
2021-08-26,28312
2021-08-28,28564
2021-08-29,28688
2021-09-02,28730
2021-09-06,28727
2021-09-10,28733
2021-09-14,28765
2021-09-18,28776
2021-09-22,28826
2021-09-28,28880
2021-09-29,28969
2021-09-30,30099
2021-10-01,30221
2021-10-04,30759
2021-10-08,30784
2021-10-20,30667
2021-10-24,30649
2021-11-07,30467
2021-11-11,30433
2021-12-05,30203
2021-12-20,30103
2021-12-24,30068
2021-12-28,30063
2022-01-11,31103
2022-01-15,31078
2022-01-19,31056
2022-01-26,31214
2022-01-29,31198
2022-01-30,31584
2022-01-31,31638
2022-02-01,31889
2022-02-06,32103
2022-02-11,31915
2022-02-13,31819
2022-02-15,31721
2022-02-19,31656
2022-03-04,31408
2022-03-08,31350
2022-03-12,31317
2022-03-17,31219
2022-03-19,31155
2022-03-23,31075
2022-03-27,31029
2022-03-31,30993
2022-04-05,30903
2022-04-09,30852
2022-04-13,30839
2022-05-09,30588
2022-05-13,30559
2022-05-17,30534
2022-05-21,30525
2022-05-25,30497
2022-05-29,30497
2022-05-31,30500
2022-06-01,30431
2022-06-05,30419
2022-06-09,30407
2022-06-13,30369
2022-06-17,30421
2022-06-20,30568
2022-06-21,31003
2022-06-23,31165
2022-06-29,31283
2022-07-03,31241
2022-07-07,31205
2022-07-08,31043
2022-07-10,30865
2022-07-14,30835
2022-07-20,30957
2022-07-24,30970
2022-07-28,31009
2022-08-01,31030
2022-08-06,31129
2022-08-10,31158
2022-08-14,31176
2022-08-18,31185
2022-08-22,31224
2022-08-28,31366
2022-09-01,31474
2022-09-09,31534
